Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
203fDMSOw1_S00_L003_R1_001	(20, 382.0)	(22, 492.0)	(24, 980.0)	(26, 5520.0)	(28, 8018.0)	(30, 8763.0)	(32, 31134.0)	(34, 57025.0)	(36, 81825.0)	(38, 113117.0)	(40, 130283.0)	(42, 130424.0)	(44, 124772.0)	(46, 109219.0)	(48, 122484.0)	(50, 132261.0)	(52, 113192.0)	(54, 103569.0)	(56, 86909.0)	(58, 91168.0)	(60, 95807.0)	(62, 91619.0)	(64, 82266.0)	(66, 71658.0)	(68, 74845.0)	(70, 150199.0)	(72, 720326.0)	(74, 1940788.0)
203fDMSOw1_S00_L004_R1_001	(20, 325.0)	(22, 480.0)	(24, 911.0)	(26, 5356.0)	(28, 7420.0)	(30, 8588.0)	(32, 29814.0)	(34, 55263.0)	(36, 79617.0)	(38, 110158.0)	(40, 128222.0)	(42, 126271.0)	(44, 122318.0)	(46, 107518.0)	(48, 121176.0)	(50, 131384.0)	(52, 113027.0)	(54, 102820.0)	(56, 86544.0)	(58, 91201.0)	(60, 96148.0)	(62, 91432.0)	(64, 82047.0)	(66, 72091.0)	(68, 75038.0)	(70, 151527.0)	(72, 728251.0)	(74, 1976794.0)
204fTBTw1_S00_L001_R1_001	(20, 315.0)	(22, 518.0)	(24, 877.0)	(26, 4629.0)	(28, 5966.0)	(30, 6910.0)	(32, 22550.0)	(34, 40865.0)	(36, 58009.0)	(38, 88538.0)	(40, 109746.0)	(42, 99159.0)	(44, 94181.0)	(46, 86821.0)	(48, 108267.0)	(50, 124942.0)	(52, 97437.0)	(54, 84739.0)	(56, 73653.0)	(58, 81072.0)	(60, 90633.0)	(62, 80474.0)	(64, 72571.0)	(66, 63994.0)	(68, 69858.0)	(70, 146251.0)	(72, 735385.0)	(74, 2022949.0)
204fTBTw1_S00_L002_R1_001	(20, 284.0)	(22, 454.0)	(24, 850.0)	(26, 4415.0)	(28, 5580.0)	(30, 6850.0)	(32, 21615.0)	(34, 39797.0)	(36, 57203.0)	(38, 86622.0)	(40, 107890.0)	(42, 96719.0)	(44, 91408.0)	(46, 84070.0)	(48, 106287.0)	(50, 122664.0)	(52, 94414.0)	(54, 82978.0)	(56, 71788.0)	(58, 78820.0)	(60, 88452.0)	(62, 78772.0)	(64, 71316.0)	(66, 62553.0)	(68, 67973.0)	(70, 144418.0)	(72, 727179.0)	(74, 2002764.0)
204fTBTw1_S00_L003_R1_001	(20, 312.0)	(22, 455.0)	(24, 915.0)	(26, 4506.0)	(28, 5675.0)	(30, 6874.0)	(32, 22306.0)	(34, 39700.0)	(36, 57636.0)	(38, 87329.0)	(40, 108599.0)	(42, 98688.0)	(44, 93289.0)	(46, 85697.0)	(48, 108285.0)	(50, 125877.0)	(52, 96861.0)	(54, 84353.0)	(56, 73410.0)	(58, 81127.0)	(60, 90848.0)	(62, 80935.0)	(64, 73392.0)	(66, 64126.0)	(68, 70313.0)	(70, 147446.0)	(72, 729121.0)	(74, 1987569.0)
204fTBTw1_S00_L004_R1_001	(20, 292.0)	(22, 431.0)	(24, 821.0)	(26, 4211.0)	(28, 5242.0)	(30, 6382.0)	(32, 20659.0)	(34, 36623.0)	(36, 54053.0)	(38, 83559.0)	(40, 104470.0)	(42, 95016.0)	(44, 90651.0)	(46, 83526.0)	(48, 106532.0)	(50, 123050.0)	(52, 95867.0)	(54, 83473.0)	(56, 72715.0)	(58, 81272.0)	(60, 90734.0)	(62, 80374.0)	(64, 72939.0)	(66, 64064.0)	(68, 70162.0)	(70, 148836.0)	(72, 740279.0)	(74, 2024153.0)
205fTBTw1_S00_L001_R1_001	(20, 644.0)	(22, 982.0)	(24, 1967.0)	(26, 12055.0)	(28, 15803.0)	(30, 19044.0)	(32, 81030.0)	(34, 169409.0)	(36, 242548.0)	(38, 278395.0)	(40, 274554.0)	(42, 279907.0)	(44, 289186.0)	(46, 255498.0)	(48, 253477.0)	(50, 230815.0)	(52, 214295.0)	(54, 210214.0)	(56, 173933.0)	(58, 170460.0)	(60, 157951.0)	(62, 146020.0)	(64, 137701.0)	(66, 122350.0)	(68, 114997.0)	(70, 171004.0)	(72, 640641.0)	(74, 1612562.0)
205fTBTw1_S00_L002_R1_001	(20, 638.0)	(22, 912.0)	(24, 1834.0)	(26, 11731.0)	(28, 15588.0)	(30, 18712.0)	(32, 80362.0)	(34, 166087.0)	(36, 237531.0)	(38, 271757.0)	(40, 268308.0)	(42, 274916.0)	(44, 282861.0)	(46, 252383.0)	(48, 249145.0)	(50, 228519.0)	(52, 210928.0)	(54, 207416.0)	(56, 171106.0)	(58, 167161.0)	(60, 155559.0)	(62, 143665.0)	(64, 135695.0)	(66, 120999.0)	(68, 113425.0)	(70, 168185.0)	(72, 633857.0)	(74, 1592748.0)
205fTBTw1_S00_L003_R1_001	(20, 651.0)	(22, 934.0)	(24, 1899.0)	(26, 12128.0)	(28, 15805.0)	(30, 19402.0)	(32, 81803.0)	(34, 169758.0)	(36, 242162.0)	(38, 279736.0)	(40, 275233.0)	(42, 281971.0)	(44, 290821.0)	(46, 257169.0)	(48, 254407.0)	(50, 234426.0)	(52, 216111.0)	(54, 211698.0)	(56, 176075.0)	(58, 171837.0)	(60, 159612.0)	(62, 147529.0)	(64, 139706.0)	(66, 124209.0)	(68, 116737.0)	(70, 174235.0)	(72, 650174.0)	(74, 1618227.0)
205fTBTw1_S00_L004_R1_001	(20, 667.0)	(22, 1017.0)	(24, 1943.0)	(26, 11948.0)	(28, 15665.0)	(30, 19182.0)	(32, 79562.0)	(34, 166118.0)	(36, 237961.0)	(38, 273191.0)	(40, 271765.0)	(42, 278491.0)	(44, 286949.0)	(46, 256114.0)	(48, 253918.0)	(50, 233684.0)	(52, 215749.0)	(54, 210923.0)	(56, 175584.0)	(58, 172418.0)	(60, 160190.0)	(62, 148492.0)	(64, 139894.0)	(66, 124507.0)	(68, 116695.0)	(70, 176670.0)	(72, 659834.0)	(74, 1650284.0)
