Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
218mTBTw1_S00_L001_R1_001	(20, 1044.0)	(22, 1611.0)	(24, 3691.0)	(26, 25865.0)	(28, 29602.0)	(30, 34453.0)	(32, 132665.0)	(34, 292651.0)	(36, 440568.0)	(38, 659111.0)	(40, 721563.0)	(42, 608054.0)	(44, 577098.0)	(46, 495824.0)	(48, 609644.0)	(50, 667828.0)	(52, 492295.0)	(54, 444321.0)	(56, 366463.0)	(58, 387716.0)	(60, 426595.0)	(62, 375740.0)	(64, 343703.0)	(66, 292815.0)	(68, 298473.0)	(70, 551254.0)	(72, 2400705.0)	(74, 6295064.0)
218mTBTw1_S00_L002_R1_001	(20, 892.0)	(22, 1501.0)	(24, 3430.0)	(26, 22462.0)	(28, 26483.0)	(30, 31339.0)	(32, 119284.0)	(34, 264484.0)	(36, 402585.0)	(38, 608949.0)	(40, 670245.0)	(42, 567402.0)	(44, 541585.0)	(46, 466707.0)	(48, 577629.0)	(50, 635205.0)	(52, 469241.0)	(54, 421970.0)	(56, 350530.0)	(58, 372215.0)	(60, 410180.0)	(62, 361268.0)	(64, 331500.0)	(66, 282973.0)	(68, 290775.0)	(70, 544731.0)	(72, 2408049.0)	(74, 6348146.0)
218mTBTw1_S00_L003_R1_001	(20, 976.0)	(22, 1551.0)	(24, 3383.0)	(26, 22358.0)	(28, 26426.0)	(30, 31677.0)	(32, 121031.0)	(34, 267152.0)	(36, 409275.0)	(38, 618342.0)	(40, 683765.0)	(42, 575253.0)	(44, 548342.0)	(46, 471349.0)	(48, 584412.0)	(50, 642308.0)	(52, 473840.0)	(54, 424663.0)	(56, 351301.0)	(58, 373298.0)	(60, 411594.0)	(62, 362545.0)	(64, 330155.0)	(66, 282394.0)	(68, 287751.0)	(70, 531650.0)	(72, 2279635.0)	(74, 5890460.0)
218mTBTw1_S00_L004_R1_001	(20, 821.0)	(22, 1258.0)	(24, 2984.0)	(26, 19042.0)	(28, 22459.0)	(30, 26898.0)	(32, 102644.0)	(34, 227117.0)	(36, 350268.0)	(38, 536536.0)	(40, 599780.0)	(42, 508557.0)	(44, 486456.0)	(46, 424745.0)	(48, 530491.0)	(50, 583932.0)	(52, 433484.0)	(54, 387788.0)	(56, 323797.0)	(58, 346333.0)	(60, 382769.0)	(62, 336833.0)	(64, 308227.0)	(66, 262202.0)	(68, 269072.0)	(70, 502931.0)	(72, 2157748.0)	(74, 5595121.0)
225fDMSOw5_S00_L001_R1_001	(20, 422.0)	(22, 690.0)	(24, 1318.0)	(26, 9487.0)	(28, 12040.0)	(30, 11381.0)	(32, 40268.0)	(34, 86100.0)	(36, 129898.0)	(38, 167184.0)	(40, 188354.0)	(42, 182529.0)	(44, 171611.0)	(46, 148474.0)	(48, 159188.0)	(50, 161281.0)	(52, 138859.0)	(54, 126426.0)	(56, 103327.0)	(58, 105733.0)	(60, 104545.0)	(62, 97973.0)	(64, 89716.0)	(66, 78575.0)	(68, 78987.0)	(70, 142545.0)	(72, 623351.0)	(74, 1634194.0)
225fDMSOw5_S00_L002_R1_001	(20, 401.0)	(22, 662.0)	(24, 1345.0)	(26, 8910.0)	(28, 11743.0)	(30, 11189.0)	(32, 39225.0)	(34, 83446.0)	(36, 125151.0)	(38, 162338.0)	(40, 183110.0)	(42, 178033.0)	(44, 167252.0)	(46, 144623.0)	(48, 155906.0)	(50, 157573.0)	(52, 135206.0)	(54, 123271.0)	(56, 100810.0)	(58, 102945.0)	(60, 102945.0)	(62, 95639.0)	(64, 87765.0)	(66, 77115.0)	(68, 78035.0)	(70, 139648.0)	(72, 617713.0)	(74, 1616729.0)
225fDMSOw5_S00_L003_R1_001	(20, 403.0)	(22, 624.0)	(24, 1325.0)	(26, 8709.0)	(28, 11609.0)	(30, 11164.0)	(32, 39216.0)	(34, 81969.0)	(36, 124597.0)	(38, 163500.0)	(40, 185929.0)	(42, 180669.0)	(44, 169066.0)	(46, 146732.0)	(48, 158080.0)	(50, 160506.0)	(52, 138850.0)	(54, 124788.0)	(56, 102958.0)	(58, 105838.0)	(60, 105754.0)	(62, 97301.0)	(64, 89877.0)	(66, 78544.0)	(68, 79715.0)	(70, 143659.0)	(72, 623386.0)	(74, 1620788.0)
225fDMSOw5_S00_L004_R1_001	(20, 383.0)	(22, 580.0)	(24, 1181.0)	(26, 8020.0)	(28, 10443.0)	(30, 10502.0)	(32, 35824.0)	(34, 76245.0)	(36, 115213.0)	(38, 152288.0)	(40, 175403.0)	(42, 170524.0)	(44, 161676.0)	(46, 141345.0)	(48, 153868.0)	(50, 157281.0)	(52, 135280.0)	(54, 122659.0)	(56, 101103.0)	(58, 103679.0)	(60, 103805.0)	(62, 97354.0)	(64, 89759.0)	(66, 78209.0)	(68, 79782.0)	(70, 143610.0)	(72, 628178.0)	(74, 1639629.0)
226fDMSOw5_S00_L001_R1_001	(20, 481.0)	(22, 660.0)	(24, 1245.0)	(26, 8942.0)	(28, 14097.0)	(30, 11104.0)	(32, 48856.0)	(34, 99956.0)	(36, 153998.0)	(38, 169414.0)	(40, 178222.0)	(42, 199317.0)	(44, 201829.0)	(46, 182897.0)	(48, 185622.0)	(50, 175506.0)	(52, 168674.0)	(54, 161711.0)	(56, 133095.0)	(58, 136342.0)	(60, 133779.0)	(62, 126847.0)	(64, 116376.0)	(66, 103731.0)	(68, 102678.0)	(70, 172921.0)	(72, 698800.0)	(74, 1741287.0)
226fDMSOw5_S00_L002_R1_001	(20, 473.0)	(22, 669.0)	(24, 1242.0)	(26, 9000.0)	(28, 13861.0)	(30, 11219.0)	(32, 48007.0)	(34, 99678.0)	(36, 152451.0)	(38, 167716.0)	(40, 175486.0)	(42, 198231.0)	(44, 199839.0)	(46, 181243.0)	(48, 183432.0)	(50, 173910.0)	(52, 166113.0)	(54, 159452.0)	(56, 131857.0)	(58, 135380.0)	(60, 131528.0)	(62, 124667.0)	(64, 114871.0)	(66, 101782.0)	(68, 101399.0)	(70, 169727.0)	(72, 687238.0)	(74, 1724094.0)
226fDMSOw5_S00_L003_R1_001	(20, 480.0)	(22, 655.0)	(24, 1260.0)	(26, 8962.0)	(28, 13959.0)	(30, 11443.0)	(32, 48719.0)	(34, 101192.0)	(36, 155420.0)	(38, 170441.0)	(40, 180049.0)	(42, 201950.0)	(44, 204914.0)	(46, 185117.0)	(48, 186830.0)	(50, 179428.0)	(52, 170316.0)	(54, 163131.0)	(56, 134598.0)	(58, 140051.0)	(60, 135078.0)	(62, 128140.0)	(64, 118521.0)	(66, 104968.0)	(68, 104591.0)	(70, 176822.0)	(72, 706954.0)	(74, 1757898.0)
226fDMSOw5_S00_L004_R1_001	(20, 460.0)	(22, 672.0)	(24, 1333.0)	(26, 8912.0)	(28, 13792.0)	(30, 11414.0)	(32, 48694.0)	(34, 99619.0)	(36, 153696.0)	(38, 169744.0)	(40, 178800.0)	(42, 200499.0)	(44, 203804.0)	(46, 184113.0)	(48, 186706.0)	(50, 177975.0)	(52, 169985.0)	(54, 163787.0)	(56, 135788.0)	(58, 141185.0)	(60, 136326.0)	(62, 129310.0)	(64, 118615.0)	(66, 105417.0)	(68, 105078.0)	(70, 179044.0)	(72, 718168.0)	(74, 1788573.0)
227fDMSOw5_S00_L001_R1_001	(20, 277.0)	(22, 416.0)	(24, 871.0)	(26, 5627.0)	(28, 8140.0)	(30, 7580.0)	(32, 28751.0)	(34, 55296.0)	(36, 84909.0)	(38, 107418.0)	(40, 122006.0)	(42, 123464.0)	(44, 119511.0)	(46, 108925.0)	(48, 121549.0)	(50, 124939.0)	(52, 111948.0)	(54, 103279.0)	(56, 84861.0)	(58, 90800.0)	(60, 93845.0)	(62, 87802.0)	(64, 78335.0)	(66, 69889.0)	(68, 72456.0)	(70, 134904.0)	(72, 590589.0)	(74, 1517757.0)
227fDMSOw5_S00_L002_R1_001	(20, 267.0)	(22, 354.0)	(24, 832.0)	(26, 5133.0)	(28, 7570.0)	(30, 7184.0)	(32, 26750.0)	(34, 51928.0)	(36, 79548.0)	(38, 101613.0)	(40, 114107.0)	(42, 117484.0)	(44, 113555.0)	(46, 103474.0)	(48, 115912.0)	(50, 119686.0)	(52, 107396.0)	(54, 98867.0)	(56, 81718.0)	(58, 87720.0)	(60, 90051.0)	(62, 84208.0)	(64, 75756.0)	(66, 66766.0)	(68, 69789.0)	(70, 131369.0)	(72, 577302.0)	(74, 1480840.0)
227fDMSOw5_S00_L003_R1_001	(20, 240.0)	(22, 381.0)	(24, 767.0)	(26, 5092.0)	(28, 7339.0)	(30, 7138.0)	(32, 26572.0)	(34, 51094.0)	(36, 79049.0)	(38, 101378.0)	(40, 114232.0)	(42, 118459.0)	(44, 114064.0)	(46, 104543.0)	(48, 117171.0)	(50, 121333.0)	(52, 109393.0)	(54, 100598.0)	(56, 82367.0)	(58, 89274.0)	(60, 92251.0)	(62, 86201.0)	(64, 77378.0)	(66, 68135.0)	(68, 71097.0)	(70, 133214.0)	(72, 580527.0)	(74, 1475157.0)
227fDMSOw5_S00_L004_R1_001	(20, 210.0)	(22, 316.0)	(24, 684.0)	(26, 4474.0)	(28, 6329.0)	(30, 6143.0)	(32, 22971.0)	(34, 44860.0)	(36, 69462.0)	(38, 90715.0)	(40, 103460.0)	(42, 107140.0)	(44, 104822.0)	(46, 96792.0)	(48, 109407.0)	(50, 113730.0)	(52, 103048.0)	(54, 94884.0)	(56, 79006.0)	(58, 85654.0)	(60, 88655.0)	(62, 82306.0)	(64, 74182.0)	(66, 65831.0)	(68, 69349.0)	(70, 131075.0)	(72, 569326.0)	(74, 1455805.0)
228fTBTw5_S00_L001_R1_001	(20, 308.0)	(22, 395.0)	(24, 718.0)	(26, 4142.0)	(28, 5622.0)	(30, 6529.0)	(32, 28603.0)	(34, 56570.0)	(36, 80913.0)	(38, 112212.0)	(40, 129024.0)	(42, 130419.0)	(44, 125333.0)	(46, 104377.0)	(48, 120984.0)	(50, 134716.0)	(52, 116597.0)	(54, 108016.0)	(56, 85642.0)	(58, 88422.0)	(60, 99238.0)	(62, 95955.0)	(64, 89035.0)	(66, 75983.0)	(68, 76028.0)	(70, 153643.0)	(72, 736390.0)	(74, 1934270.0)
228fTBTw5_S00_L002_R1_001	(20, 266.0)	(22, 383.0)	(24, 641.0)	(26, 4100.0)	(28, 5377.0)	(30, 6406.0)	(32, 27889.0)	(34, 55283.0)	(36, 79402.0)	(38, 108878.0)	(40, 126039.0)	(42, 126552.0)	(44, 122207.0)	(46, 101718.0)	(48, 118983.0)	(50, 132055.0)	(52, 114220.0)	(54, 105765.0)	(56, 84169.0)	(58, 86305.0)	(60, 97502.0)	(62, 94725.0)	(64, 87833.0)	(66, 73947.0)	(68, 74868.0)	(70, 151679.0)	(72, 726857.0)	(74, 1910993.0)
228fTBTw5_S00_L003_R1_001	(20, 315.0)	(22, 412.0)	(24, 681.0)	(26, 4038.0)	(28, 5307.0)	(30, 6447.0)	(32, 28421.0)	(34, 56186.0)	(36, 80861.0)	(38, 111750.0)	(40, 128505.0)	(42, 129702.0)	(44, 125122.0)	(46, 103822.0)	(48, 121449.0)	(50, 135300.0)	(52, 117248.0)	(54, 108342.0)	(56, 85766.0)	(58, 89309.0)	(60, 100596.0)	(62, 96918.0)	(64, 90057.0)	(66, 76418.0)	(68, 76784.0)	(70, 156055.0)	(72, 735059.0)	(74, 1907136.0)
228fTBTw5_S00_L004_R1_001	(20, 262.0)	(22, 351.0)	(24, 675.0)	(26, 3801.0)	(28, 5069.0)	(30, 6343.0)	(32, 27042.0)	(34, 53091.0)	(36, 76801.0)	(38, 108197.0)	(40, 123635.0)	(42, 126441.0)	(44, 121636.0)	(46, 102364.0)	(48, 119313.0)	(50, 132741.0)	(52, 116054.0)	(54, 107362.0)	(56, 85115.0)	(58, 89494.0)	(60, 99606.0)	(62, 97243.0)	(64, 89373.0)	(66, 76016.0)	(68, 76842.0)	(70, 155867.0)	(72, 743288.0)	(74, 1945008.0)
230fTBTw5_S00_L001_R1_001	(20, 344.0)	(22, 540.0)	(24, 1176.0)	(26, 8305.0)	(28, 11503.0)	(30, 11833.0)	(32, 54896.0)	(34, 120521.0)	(36, 182717.0)	(38, 216794.0)	(40, 235603.0)	(42, 261605.0)	(44, 265831.0)	(46, 231431.0)	(48, 231373.0)	(50, 218047.0)	(52, 213379.0)	(54, 204564.0)	(56, 164815.0)	(58, 163785.0)	(60, 155477.0)	(62, 149637.0)	(64, 137736.0)	(66, 118326.0)	(68, 113278.0)	(70, 176955.0)	(72, 666557.0)	(74, 1635332.0)
230fTBTw5_S00_L002_R1_001	(20, 298.0)	(22, 472.0)	(24, 1104.0)	(26, 7610.0)	(28, 10369.0)	(30, 11387.0)	(32, 50720.0)	(34, 112170.0)	(36, 172116.0)	(38, 204161.0)	(40, 223412.0)	(42, 249515.0)	(44, 253523.0)	(46, 221037.0)	(48, 220291.0)	(50, 208796.0)	(52, 204850.0)	(54, 196950.0)	(56, 158303.0)	(58, 157818.0)	(60, 150234.0)	(62, 144628.0)	(64, 133000.0)	(66, 114837.0)	(68, 109355.0)	(70, 171820.0)	(72, 649669.0)	(74, 1596231.0)
230fTBTw5_S00_L003_R1_001	(20, 281.0)	(22, 460.0)	(24, 1040.0)	(26, 7171.0)	(28, 9897.0)	(30, 11055.0)	(32, 48327.0)	(34, 106561.0)	(36, 164994.0)	(38, 198600.0)	(40, 219339.0)	(42, 245791.0)	(44, 250200.0)	(46, 220173.0)	(48, 219743.0)	(50, 209701.0)	(52, 204766.0)	(54, 197364.0)	(56, 159793.0)	(58, 159368.0)	(60, 152334.0)	(62, 146754.0)	(64, 134983.0)	(66, 116308.0)	(68, 111028.0)	(70, 174340.0)	(72, 654034.0)	(74, 1590837.0)
230fTBTw5_S00_L004_R1_001	(20, 248.0)	(22, 389.0)	(24, 966.0)	(26, 6221.0)	(28, 8310.0)	(30, 9314.0)	(32, 41490.0)	(34, 91749.0)	(36, 143140.0)	(38, 175426.0)	(40, 195055.0)	(42, 221150.0)	(44, 226695.0)	(46, 201823.0)	(48, 203818.0)	(50, 195631.0)	(52, 191987.0)	(54, 184861.0)	(56, 151695.0)	(58, 150833.0)	(60, 146522.0)	(62, 140431.0)	(64, 129322.0)	(66, 112167.0)	(68, 107286.0)	(70, 170311.0)	(72, 641609.0)	(74, 1559858.0)
238mDMSOw5_S00_L001_R1_001	(20, 1022.0)	(22, 1709.0)	(24, 3490.0)	(26, 20507.0)	(28, 31449.0)	(30, 28324.0)	(32, 109767.0)	(34, 238940.0)	(36, 389745.0)	(38, 483402.0)	(40, 529712.0)	(42, 579278.0)	(44, 589429.0)	(46, 544210.0)	(48, 560776.0)	(50, 536096.0)	(52, 496740.0)	(54, 475168.0)	(56, 405518.0)	(58, 411939.0)	(60, 395096.0)	(62, 366014.0)	(64, 341522.0)	(66, 307689.0)	(68, 311414.0)	(70, 551704.0)	(72, 2401360.0)	(74, 6097351.0)
238mDMSOw5_S00_L002_R1_001	(20, 946.0)	(22, 1621.0)	(24, 3358.0)	(26, 19445.0)	(28, 29972.0)	(30, 27184.0)	(32, 103966.0)	(34, 228010.0)	(36, 372374.0)	(38, 463308.0)	(40, 510161.0)	(42, 560894.0)	(44, 573039.0)	(46, 529387.0)	(48, 546318.0)	(50, 525427.0)	(52, 488150.0)	(54, 463423.0)	(56, 397266.0)	(58, 404050.0)	(60, 388200.0)	(62, 361458.0)	(64, 337359.0)	(66, 302944.0)	(68, 307251.0)	(70, 553477.0)	(72, 2433633.0)	(74, 6207340.0)
238mDMSOw5_S00_L003_R1_001	(20, 955.0)	(22, 1618.0)	(24, 3344.0)	(26, 17643.0)	(28, 27272.0)	(30, 26080.0)	(32, 98840.0)	(34, 217904.0)	(36, 360683.0)	(38, 457553.0)	(40, 508606.0)	(42, 561245.0)	(44, 571970.0)	(46, 530053.0)	(48, 548337.0)	(50, 528552.0)	(52, 493676.0)	(54, 469723.0)	(56, 400516.0)	(58, 408213.0)	(60, 393133.0)	(62, 365153.0)	(64, 339620.0)	(66, 306928.0)	(68, 310528.0)	(70, 552943.0)	(72, 2392733.0)	(74, 6012117.0)
238mDMSOw5_S00_L004_R1_001	(20, 872.0)	(22, 1452.0)	(24, 3012.0)	(26, 16837.0)	(28, 26085.0)	(30, 24111.0)	(32, 91268.0)	(34, 198977.0)	(36, 330975.0)	(38, 418761.0)	(40, 468066.0)	(42, 521746.0)	(44, 537064.0)	(46, 500362.0)	(48, 522720.0)	(50, 505371.0)	(52, 470534.0)	(54, 448917.0)	(56, 387457.0)	(58, 396094.0)	(60, 380876.0)	(62, 355633.0)	(64, 331824.0)	(66, 300420.0)	(68, 304992.0)	(70, 550776.0)	(72, 2392356.0)	(74, 6038735.0)
239mDMSOw5_S00_L001_R1_001	(20, 1395.0)	(22, 2156.0)	(24, 5175.0)	(26, 37640.0)	(28, 39976.0)	(30, 41702.0)	(32, 146979.0)	(34, 303067.0)	(36, 424579.0)	(38, 549322.0)	(40, 617424.0)	(42, 576606.0)	(44, 523550.0)	(46, 428867.0)	(48, 463992.0)	(50, 473977.0)	(52, 411190.0)	(54, 377510.0)	(56, 303335.0)	(58, 307344.0)	(60, 311961.0)	(62, 296851.0)	(64, 278601.0)	(66, 240692.0)	(68, 246612.0)	(70, 458324.0)	(72, 2097596.0)	(74, 5610224.0)
239mDMSOw5_S00_L002_R1_001	(20, 1265.0)	(22, 2052.0)	(24, 4863.0)	(26, 36204.0)	(28, 38811.0)	(30, 40756.0)	(32, 140440.0)	(34, 294247.0)	(36, 410593.0)	(38, 535056.0)	(40, 603049.0)	(42, 565658.0)	(44, 514299.0)	(46, 423613.0)	(48, 457525.0)	(50, 467058.0)	(52, 406106.0)	(54, 372455.0)	(56, 299848.0)	(58, 303678.0)	(60, 309312.0)	(62, 295130.0)	(64, 276718.0)	(66, 238187.0)	(68, 246116.0)	(70, 461692.0)	(72, 2126498.0)	(74, 5706792.0)
239mDMSOw5_S00_L003_R1_001	(20, 1444.0)	(22, 2225.0)	(24, 5145.0)	(26, 37434.0)	(28, 40534.0)	(30, 42376.0)	(32, 145266.0)	(34, 304119.0)	(36, 425430.0)	(38, 549912.0)	(40, 618428.0)	(42, 579326.0)	(44, 524535.0)	(46, 432038.0)	(48, 468013.0)	(50, 474832.0)	(52, 412452.0)	(54, 377593.0)	(56, 304837.0)	(58, 308680.0)	(60, 313525.0)	(62, 300138.0)	(64, 279516.0)	(66, 240792.0)	(68, 249001.0)	(70, 460803.0)	(72, 2088105.0)	(74, 5525949.0)
239mDMSOw5_S00_L004_R1_001	(20, 1249.0)	(22, 2097.0)	(24, 4884.0)	(26, 35543.0)	(28, 38298.0)	(30, 40286.0)	(32, 138909.0)	(34, 288063.0)	(36, 405979.0)	(38, 529602.0)	(40, 597557.0)	(42, 561305.0)	(44, 510276.0)	(46, 420636.0)	(48, 458302.0)	(50, 468153.0)	(52, 406846.0)	(54, 373776.0)	(56, 301785.0)	(58, 307042.0)	(60, 311686.0)	(62, 298566.0)	(64, 278116.0)	(66, 240517.0)	(68, 248038.0)	(70, 464128.0)	(72, 2107782.0)	(74, 5584118.0)
240mTBTw5_S00_L001_R1_001	(20, 1290.0)	(22, 2079.0)	(24, 4751.0)	(26, 39905.0)	(28, 43389.0)	(30, 45507.0)	(32, 179591.0)	(34, 386128.0)	(36, 555909.0)	(38, 684089.0)	(40, 747026.0)	(42, 744439.0)	(44, 671366.0)	(46, 539919.0)	(48, 549106.0)	(50, 542706.0)	(52, 494613.0)	(54, 442926.0)	(56, 339443.0)	(58, 330886.0)	(60, 332269.0)	(62, 322398.0)	(64, 291410.0)	(66, 243221.0)	(68, 240854.0)	(70, 411804.0)	(72, 1752355.0)	(74, 4618743.0)
240mTBTw5_S00_L002_R1_001	(20, 1221.0)	(22, 1978.0)	(24, 4683.0)	(26, 38495.0)	(28, 42503.0)	(30, 44747.0)	(32, 174708.0)	(34, 378277.0)	(36, 546417.0)	(38, 673649.0)	(40, 739357.0)	(42, 735210.0)	(44, 664385.0)	(46, 533842.0)	(48, 543564.0)	(50, 539406.0)	(52, 491686.0)	(54, 440790.0)	(56, 336755.0)	(58, 330603.0)	(60, 331541.0)	(62, 320947.0)	(64, 291916.0)	(66, 244049.0)	(68, 240904.0)	(70, 415026.0)	(72, 1781165.0)	(74, 4722702.0)
240mTBTw5_S00_L003_R1_001	(20, 1266.0)	(22, 2194.0)	(24, 4918.0)	(26, 39512.0)	(28, 43835.0)	(30, 46457.0)	(32, 180366.0)	(34, 387637.0)	(36, 561447.0)	(38, 690196.0)	(40, 754714.0)	(42, 747980.0)	(44, 676935.0)	(46, 543577.0)	(48, 553183.0)	(50, 548993.0)	(52, 497474.0)	(54, 446145.0)	(56, 341335.0)	(58, 335426.0)	(60, 336145.0)	(62, 323470.0)	(64, 294997.0)	(66, 246775.0)	(68, 242653.0)	(70, 416921.0)	(72, 1757563.0)	(74, 4584768.0)
240mTBTw5_S00_L004_R1_001	(20, 1244.0)	(22, 2073.0)	(24, 4893.0)	(26, 38462.0)	(28, 42533.0)	(30, 44815.0)	(32, 174643.0)	(34, 376388.0)	(36, 543838.0)	(38, 672592.0)	(40, 741128.0)	(42, 736255.0)	(44, 666697.0)	(46, 536960.0)	(48, 547990.0)	(50, 543436.0)	(52, 495471.0)	(54, 445317.0)	(56, 341395.0)	(58, 334115.0)	(60, 337163.0)	(62, 325231.0)	(64, 296105.0)	(66, 247111.0)	(68, 244425.0)	(70, 422177.0)	(72, 1785198.0)	(74, 4673749.0)
241mTBTw5_S00_L001_R1_001	(20, 1243.0)	(22, 1923.0)	(24, 3675.0)	(26, 27532.0)	(28, 38362.0)	(30, 37369.0)	(32, 167693.0)	(34, 362727.0)	(36, 528803.0)	(38, 582292.0)	(40, 595549.0)	(42, 678992.0)	(44, 704710.0)	(46, 613493.0)	(48, 602390.0)	(50, 557767.0)	(52, 557874.0)	(54, 560235.0)	(56, 448531.0)	(58, 444384.0)	(60, 424801.0)	(62, 416356.0)	(64, 396455.0)	(66, 349285.0)	(68, 332679.0)	(70, 547091.0)	(72, 2198948.0)	(74, 5496292.0)
241mTBTw5_S00_L002_R1_001	(20, 1136.0)	(22, 1849.0)	(24, 3536.0)	(26, 26089.0)	(28, 36888.0)	(30, 36225.0)	(32, 160246.0)	(34, 348017.0)	(36, 510334.0)	(38, 563840.0)	(40, 574822.0)	(42, 659862.0)	(44, 687042.0)	(46, 598834.0)	(48, 588947.0)	(50, 545637.0)	(52, 545500.0)	(54, 548753.0)	(56, 441790.0)	(58, 439154.0)	(60, 420897.0)	(62, 410420.0)	(64, 391480.0)	(66, 346192.0)	(68, 329298.0)	(70, 546610.0)	(72, 2220077.0)	(74, 5580931.0)
241mTBTw5_S00_L003_R1_001	(20, 1205.0)	(22, 2005.0)	(24, 3831.0)	(26, 27115.0)	(28, 38309.0)	(30, 37513.0)	(32, 165739.0)	(34, 359790.0)	(36, 526085.0)	(38, 578530.0)	(40, 592157.0)	(42, 677195.0)	(44, 703223.0)	(46, 609568.0)	(48, 600904.0)	(50, 554589.0)	(52, 555441.0)	(54, 558079.0)	(56, 448155.0)	(58, 444259.0)	(60, 425117.0)	(62, 415440.0)	(64, 395711.0)	(66, 349442.0)	(68, 331812.0)	(70, 547755.0)	(72, 2180940.0)	(74, 5393637.0)
241mTBTw5_S00_L004_R1_001	(20, 1139.0)	(22, 1713.0)	(24, 3469.0)	(26, 25372.0)	(28, 35770.0)	(30, 35397.0)	(32, 155231.0)	(34, 336030.0)	(36, 493802.0)	(38, 546052.0)	(40, 562863.0)	(42, 646191.0)	(44, 673156.0)	(46, 585732.0)	(48, 578903.0)	(50, 538312.0)	(52, 541066.0)	(54, 542324.0)	(56, 438880.0)	(58, 434256.0)	(60, 416093.0)	(62, 409029.0)	(64, 388129.0)	(66, 343427.0)	(68, 328065.0)	(70, 545018.0)	(72, 2174728.0)	(74, 5392854.0)
242mTBTw5_S00_L001_R1_001	(20, 1076.0)	(22, 1707.0)	(24, 3403.0)	(26, 25856.0)	(28, 39675.0)	(30, 35353.0)	(32, 150505.0)	(34, 316718.0)	(36, 473948.0)	(38, 518063.0)	(40, 521651.0)	(42, 599065.0)	(44, 628341.0)	(46, 559311.0)	(48, 556331.0)	(50, 510494.0)	(52, 514167.0)	(54, 514067.0)	(56, 413202.0)	(58, 417787.0)	(60, 396185.0)	(62, 386901.0)	(64, 364298.0)	(66, 322046.0)	(68, 307710.0)	(70, 505783.0)	(72, 2012053.0)	(74, 4968495.0)
242mTBTw5_S00_L002_R1_001	(20, 1005.0)	(22, 1594.0)	(24, 3314.0)	(26, 24692.0)	(28, 37974.0)	(30, 33703.0)	(32, 143705.0)	(34, 303642.0)	(36, 455853.0)	(38, 499089.0)	(40, 506966.0)	(42, 580230.0)	(44, 609262.0)	(46, 544933.0)	(48, 540619.0)	(50, 498692.0)	(52, 502320.0)	(54, 502475.0)	(56, 405425.0)	(58, 407622.0)	(60, 390134.0)	(62, 380407.0)	(64, 357909.0)	(66, 317310.0)	(68, 304022.0)	(70, 502551.0)	(72, 2011288.0)	(74, 4988691.0)
242mTBTw5_S00_L003_R1_001	(20, 1135.0)	(22, 1781.0)	(24, 3633.0)	(26, 25768.0)	(28, 39194.0)	(30, 35003.0)	(32, 147827.0)	(34, 311442.0)	(36, 468963.0)	(38, 514884.0)	(40, 519355.0)	(42, 594852.0)	(44, 621847.0)	(46, 557878.0)	(48, 550941.0)	(50, 506393.0)	(52, 511507.0)	(54, 510006.0)	(56, 410216.0)	(58, 415299.0)	(60, 395428.0)	(62, 386277.0)	(64, 363365.0)	(66, 320822.0)	(68, 305985.0)	(70, 507325.0)	(72, 1996088.0)	(74, 4867325.0)
242mTBTw5_S00_L004_R1_001	(20, 947.0)	(22, 1615.0)	(24, 3293.0)	(26, 23671.0)	(28, 36181.0)	(30, 32745.0)	(32, 137228.0)	(34, 289508.0)	(36, 436644.0)	(38, 482314.0)	(40, 492272.0)	(42, 563215.0)	(44, 591153.0)	(46, 532224.0)	(48, 530020.0)	(50, 490813.0)	(52, 495377.0)	(54, 492985.0)	(56, 399414.0)	(58, 403135.0)	(60, 386470.0)	(62, 377774.0)	(64, 355744.0)	(66, 313769.0)	(68, 301241.0)	(70, 500032.0)	(72, 1973965.0)	(74, 4825150.0)
297fTBTw1_S00_L001_R1_001	(20, 975.0)	(22, 1740.0)	(24, 4516.0)	(26, 38398.0)	(28, 42852.0)	(30, 40708.0)	(32, 148448.0)	(34, 311554.0)	(36, 416406.0)	(38, 457468.0)	(40, 417242.0)	(42, 383048.0)	(44, 353374.0)	(46, 291068.0)	(48, 274983.0)	(50, 234572.0)	(52, 205611.0)	(54, 192070.0)	(56, 155815.0)	(58, 144737.0)	(60, 130186.0)	(62, 121543.0)	(64, 114101.0)	(66, 101687.0)	(68, 95374.0)	(70, 139541.0)	(72, 500351.0)	(74, 1221835.0)
297fTBTw1_S00_L002_R1_001	(20, 948.0)	(22, 1637.0)	(24, 4260.0)	(26, 36548.0)	(28, 41005.0)	(30, 39001.0)	(32, 142110.0)	(34, 298009.0)	(36, 401628.0)	(38, 440314.0)	(40, 401593.0)	(42, 369619.0)	(44, 340569.0)	(46, 281555.0)	(48, 266488.0)	(50, 226878.0)	(52, 198957.0)	(54, 186082.0)	(56, 151348.0)	(58, 140218.0)	(60, 126080.0)	(62, 117506.0)	(64, 110663.0)	(66, 98929.0)	(68, 93035.0)	(70, 136745.0)	(72, 492003.0)	(74, 1201804.0)
