Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
204fTBTw1_S00_L002_R1_001	(18.0, 7.0)	(19.0, 33.0)	(20.0, 193.0)	(21.0, 647.0)	(22.0, 1514.0)	(23.0, 3419.0)	(24.0, 7181.0)	(25.0, 13442.0)	(26.0, 24302.0)	(27.0, 40441.0)	(28.0, 62962.0)	(29.0, 91926.0)	(30.0, 130007.0)	(31.0, 181843.0)	(32.0, 260460.0)	(33.0, 415150.0)	(34.0, 885149.0)	(35.0, 2285459.0)						
204fTBTw1_S00_L003_R1_001	(18.0, 5.0)	(19.0, 25.0)	(20.0, 183.0)	(21.0, 599.0)	(22.0, 1564.0)	(23.0, 3726.0)	(24.0, 7926.0)	(25.0, 15403.0)	(26.0, 27400.0)	(27.0, 44763.0)	(28.0, 69266.0)	(29.0, 100124.0)	(30.0, 139508.0)	(31.0, 190588.0)	(32.0, 270289.0)	(33.0, 427076.0)	(34.0, 908437.0)	(35.0, 2218762.0)						
204fTBTw1_S00_L004_R1_001	(18.0, 5.0)	(19.0, 32.0)	(20.0, 181.0)	(21.0, 526.0)	(22.0, 1482.0)	(23.0, 3538.0)	(24.0, 7685.0)	(25.0, 15052.0)	(26.0, 27352.0)	(27.0, 45712.0)	(28.0, 69395.0)	(29.0, 101008.0)	(30.0, 139573.0)	(31.0, 191261.0)	(32.0, 269873.0)	(33.0, 424165.0)	(34.0, 909929.0)	(35.0, 2233617.0)						
205fTBTw1_S00_L001_R1_001	(18.0, 9.0)	(19.0, 75.0)	(20.0, 385.0)	(21.0, 1117.0)	(22.0, 2635.0)	(23.0, 5574.0)	(24.0, 10390.0)	(25.0, 19250.0)	(26.0, 33281.0)	(27.0, 54478.0)	(28.0, 83446.0)	(29.0, 121585.0)	(30.0, 168606.0)	(31.0, 229956.0)	(32.0, 321984.0)	(33.0, 503533.0)	(34.0, 1114893.0)	(35.0, 3606245.0)						
205fTBTw1_S00_L002_R1_001	(18.0, 5.0)	(19.0, 73.0)	(20.0, 366.0)	(21.0, 1178.0)	(22.0, 2739.0)	(23.0, 5485.0)	(24.0, 10033.0)	(25.0, 18323.0)	(26.0, 31850.0)	(27.0, 52180.0)	(28.0, 81196.0)	(29.0, 117996.0)	(30.0, 165286.0)	(31.0, 226976.0)	(32.0, 319778.0)	(33.0, 500428.0)	(34.0, 1105341.0)	(35.0, 3542795.0)						
205fTBTw1_S00_L003_R1_001	(17.0, 1.0)	(18.0, 11.0)	(19.0, 60.0)	(20.0, 294.0)	(21.0, 1124.0)	(22.0, 2788.0)	(23.0, 5834.0)	(24.0, 11359.0)	(25.0, 21379.0)	(26.0, 36930.0)	(27.0, 60265.0)	(28.0, 93138.0)	(29.0, 134278.0)	(30.0, 185170.0)	(31.0, 249928.0)	(32.0, 345643.0)	(33.0, 535239.0)	(34.0, 1167522.0)	(35.0, 3473492.0)					
205fTBTw1_S00_L004_R1_001	(18.0, 4.0)	(19.0, 51.0)	(20.0, 290.0)	(21.0, 1005.0)	(22.0, 2649.0)	(23.0, 5820.0)	(24.0, 11456.0)	(25.0, 21383.0)	(26.0, 37717.0)	(27.0, 62008.0)	(28.0, 95248.0)	(29.0, 136498.0)	(30.0, 188518.0)	(31.0, 253251.0)	(32.0, 347887.0)	(33.0, 534131.0)	(34.0, 1154242.0)	(35.0, 3487257.0)						
206fTBTw1_S00_L001_R1_001	(18.0, 5.0)	(19.0, 49.0)	(20.0, 199.0)	(21.0, 734.0)	(22.0, 1725.0)	(23.0, 4001.0)	(24.0, 8071.0)	(25.0, 15436.0)	(26.0, 27274.0)	(27.0, 44746.0)	(28.0, 69292.0)	(29.0, 100931.0)	(30.0, 141107.0)	(31.0, 194892.0)	(32.0, 274322.0)	(33.0, 427516.0)	(34.0, 916526.0)	(35.0, 2476900.0)						
206fTBTw1_S00_L002_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 51.0)	(20.0, 202.0)	(21.0, 672.0)	(22.0, 1775.0)	(23.0, 3714.0)	(24.0, 7864.0)	(25.0, 14795.0)	(26.0, 26300.0)	(27.0, 44063.0)	(28.0, 67939.0)	(29.0, 99526.0)	(30.0, 140798.0)	(31.0, 195846.0)	(32.0, 275818.0)	(33.0, 428849.0)	(34.0, 912872.0)	(35.0, 2356304.0)				
206fTBTw1_S00_L003_R1_001	(18.0, 4.0)	(19.0, 32.0)	(20.0, 187.0)	(21.0, 655.0)	(22.0, 1776.0)	(23.0, 4141.0)	(24.0, 8587.0)	(25.0, 17078.0)	(26.0, 30229.0)	(27.0, 49741.0)	(28.0, 75817.0)	(29.0, 110039.0)	(30.0, 153311.0)	(31.0, 208386.0)	(32.0, 290325.0)	(33.0, 447288.0)	(34.0, 940048.0)	(35.0, 2267842.0)						
206fTBTw1_S00_L004_R1_001	(18.0, 4.0)	(19.0, 30.0)	(20.0, 183.0)	(21.0, 598.0)	(22.0, 1663.0)	(23.0, 3787.0)	(24.0, 8337.0)	(25.0, 16438.0)	(26.0, 29224.0)	(27.0, 48644.0)	(28.0, 75014.0)	(29.0, 108575.0)	(30.0, 150421.0)	(31.0, 203322.0)	(32.0, 282069.0)	(33.0, 433350.0)	(34.0, 912406.0)	(35.0, 2213602.0)						
213mDMSOw1_S00_L001_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 55.0)	(19.0, 325.0)	(20.0, 1518.0)	(21.0, 4844.0)	(22.0, 10665.0)	(23.0, 19619.0)	(24.0, 34247.0)	(25.0, 59193.0)	(26.0, 97907.0)	(27.0, 154735.0)	(28.0, 230413.0)	(29.0, 326780.0)	(30.0, 446777.0)	(31.0, 604054.0)	(32.0, 845276.0)	(33.0, 1324849.0)	(34.0, 2949452.0)	(35.0, 8921512.0)		
