Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
225fDMSOw5_S00_L003_R1_001	(18.0, 8.0)	(19.0, 43.0)	(20.0, 222.0)	(21.0, 731.0)	(22.0, 1893.0)	(23.0, 4212.0)	(24.0, 8796.0)	(25.0, 16961.0)	(26.0, 29833.0)	(27.0, 49084.0)	(28.0, 75331.0)	(29.0, 107708.0)	(30.0, 150711.0)	(31.0, 204828.0)	(32.0, 285169.0)	(33.0, 441801.0)	(34.0, 941501.0)	(35.0, 2436724.0)						
225fDMSOw5_S00_L004_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 34.0)	(20.0, 154.0)	(21.0, 669.0)	(22.0, 1743.0)	(23.0, 3880.0)	(24.0, 8474.0)	(25.0, 16284.0)	(26.0, 29534.0)	(27.0, 48359.0)	(28.0, 74466.0)	(29.0, 108313.0)	(30.0, 149066.0)	(31.0, 202322.0)	(32.0, 280612.0)	(33.0, 434738.0)	(34.0, 924908.0)	(35.0, 2410260.0)					
226fDMSOw5_S00_L001_R1_001	(17.0, 2.0)	(18.0, 9.0)	(19.0, 84.0)	(20.0, 409.0)	(21.0, 1305.0)	(22.0, 2951.0)	(23.0, 5634.0)	(24.0, 10102.0)	(25.0, 17936.0)	(26.0, 30933.0)	(27.0, 49251.0)	(28.0, 73793.0)	(29.0, 106635.0)	(30.0, 146875.0)	(31.0, 199736.0)	(32.0, 280439.0)	(33.0, 441489.0)	(34.0, 975690.0)	(35.0, 3085114.0)					
226fDMSOw5_S00_L002_R1_001	(17.0, 2.0)	(18.0, 12.0)	(19.0, 85.0)	(20.0, 428.0)	(21.0, 1375.0)	(22.0, 2964.0)	(23.0, 5676.0)	(24.0, 9812.0)	(25.0, 16968.0)	(26.0, 29221.0)	(27.0, 46740.0)	(28.0, 71533.0)	(29.0, 102445.0)	(30.0, 143632.0)	(31.0, 196584.0)	(32.0, 277535.0)	(33.0, 435122.0)	(34.0, 959683.0)	(35.0, 3064748.0)					
226fDMSOw5_S00_L003_R1_001	(17.0, 1.0)	(18.0, 7.0)	(19.0, 72.0)	(20.0, 372.0)	(21.0, 1266.0)	(22.0, 3045.0)	(23.0, 5922.0)	(24.0, 11097.0)	(25.0, 20090.0)	(26.0, 34306.0)	(27.0, 54334.0)	(28.0, 82107.0)	(29.0, 116787.0)	(30.0, 159514.0)	(31.0, 215480.0)	(32.0, 299538.0)	(33.0, 466892.0)	(34.0, 1018427.0)	(35.0, 3002630.0)					
226fDMSOw5_S00_L004_R1_001	(18.0, 11.0)	(19.0, 72.0)	(20.0, 379.0)	(21.0, 1146.0)	(22.0, 2799.0)	(23.0, 5794.0)	(24.0, 10960.0)	(25.0, 19959.0)	(26.0, 34251.0)	(27.0, 55103.0)	(28.0, 83644.0)	(29.0, 118130.0)	(30.0, 161310.0)	(31.0, 217653.0)	(32.0, 299697.0)	(33.0, 463304.0)	(34.0, 1010047.0)	(35.0, 3047250.0)						
227fDMSOw5_S00_L001_R1_001	(18.0, 7.0)	(19.0, 32.0)	(20.0, 175.0)	(21.0, 621.0)	(22.0, 1541.0)	(23.0, 3526.0)	(24.0, 7156.0)	(25.0, 13593.0)	(26.0, 24069.0)	(27.0, 39776.0)	(28.0, 61192.0)	(29.0, 88705.0)	(30.0, 124146.0)	(31.0, 172179.0)	(32.0, 243363.0)	(33.0, 384930.0)	(34.0, 815532.0)	(35.0, 2075601.0)						
227fDMSOw5_S00_L002_R1_001	(18.0, 1.0)	(19.0, 33.0)	(20.0, 160.0)	(21.0, 609.0)	(22.0, 1537.0)	(23.0, 3281.0)	(24.0, 6795.0)	(25.0, 12880.0)	(26.0, 23191.0)	(27.0, 38627.0)	(28.0, 59788.0)	(29.0, 87614.0)	(30.0, 124038.0)	(31.0, 171542.0)	(32.0, 245604.0)	(33.0, 388055.0)	(34.0, 814018.0)	(35.0, 1939406.0)						
227fDMSOw5_S00_L003_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 30.0)	(20.0, 156.0)	(21.0, 633.0)	(22.0, 1638.0)	(23.0, 3585.0)	(24.0, 7492.0)	(25.0, 14731.0)	(26.0, 26162.0)	(27.0, 43298.0)	(28.0, 66282.0)	(29.0, 96365.0)	(30.0, 132975.0)	(31.0, 181850.0)	(32.0, 255710.0)	(33.0, 399344.0)	(34.0, 830731.0)	(35.0, 1873457.0)					
227fDMSOw5_S00_L004_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 27.0)	(20.0, 163.0)	(21.0, 502.0)	(22.0, 1397.0)	(23.0, 3283.0)	(24.0, 7199.0)	(25.0, 14213.0)	(26.0, 25519.0)	(27.0, 41912.0)	(28.0, 64100.0)	(29.0, 92670.0)	(30.0, 128351.0)	(31.0, 176678.0)	(32.0, 247650.0)	(33.0, 386788.0)	(34.0, 808669.0)	(35.0, 1781511.0)					
228fTBTw5_S00_L001_R1_001	(18.0, 5.0)	(19.0, 29.0)	(20.0, 203.0)	(21.0, 725.0)	(22.0, 1861.0)	(23.0, 3862.0)	(24.0, 7807.0)	(25.0, 14918.0)	(26.0, 26507.0)	(27.0, 43992.0)	(28.0, 66904.0)	(29.0, 98015.0)	(30.0, 136046.0)	(31.0, 187249.0)	(32.0, 266626.0)	(33.0, 422748.0)	(34.0, 911677.0)	(35.0, 2510910.0)						
228fTBTw5_S00_L002_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 40.0)	(20.0, 202.0)	(21.0, 693.0)	(22.0, 1788.0)	(23.0, 3908.0)	(24.0, 7639.0)	(25.0, 14350.0)	(26.0, 25730.0)	(27.0, 42655.0)	(28.0, 65734.0)	(29.0, 95834.0)	(30.0, 135542.0)	(31.0, 187140.0)	(32.0, 267286.0)	(33.0, 424264.0)	(34.0, 909558.0)	(35.0, 2442675.0)					
228fTBTw5_S00_L003_R1_001	(18.0, 8.0)	(19.0, 41.0)	(20.0, 196.0)	(21.0, 701.0)	(22.0, 1759.0)	(23.0, 4148.0)	(24.0, 8547.0)	(25.0, 16668.0)	(26.0, 29487.0)	(27.0, 47993.0)	(28.0, 73395.0)	(29.0, 106300.0)	(30.0, 146841.0)	(31.0, 199366.0)	(32.0, 279791.0)	(33.0, 439866.0)	(34.0, 938816.0)	(35.0, 2384083.0)						
228fTBTw5_S00_L004_R1_001	(18.0, 9.0)	(19.0, 33.0)	(20.0, 203.0)	(21.0, 688.0)	(22.0, 1737.0)	(23.0, 4065.0)	(24.0, 8631.0)	(25.0, 16573.0)	(26.0, 29516.0)	(27.0, 48912.0)	(28.0, 74495.0)	(29.0, 106741.0)	(30.0, 148583.0)	(31.0, 200001.0)	(32.0, 279136.0)	(33.0, 437077.0)	(34.0, 938027.0)	(35.0, 2394603.0)						
230fTBTw5_S00_L001_R1_001	(19.0, 46.0)	(20.0, 204.0)	(21.0, 826.0)	(22.0, 2117.0)	(23.0, 4909.0)	(24.0, 10246.0)	(25.0, 19768.0)	(26.0, 35904.0)	(27.0, 59420.0)	(28.0, 91925.0)	(29.0, 134779.0)	(30.0, 188846.0)	(31.0, 258407.0)	(32.0, 364536.0)	(33.0, 566617.0)	(34.0, 1196466.0)	(35.0, 3017344.0)							
230fTBTw5_S00_L002_R1_001	(18.0, 4.0)	(19.0, 35.0)	(20.0, 217.0)	(21.0, 744.0)	(22.0, 2110.0)	(23.0, 4595.0)	(24.0, 9669.0)	(25.0, 19003.0)	(26.0, 34182.0)	(27.0, 57597.0)	(28.0, 89365.0)	(29.0, 131923.0)	(30.0, 186234.0)	(31.0, 257151.0)	(32.0, 364605.0)	(33.0, 567475.0)	(34.0, 1186628.0)	(35.0, 2823139.0)						
230fTBTw5_S00_L003_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 30.0)	(20.0, 210.0)	(21.0, 718.0)	(22.0, 2012.0)	(23.0, 5046.0)	(24.0, 11013.0)	(25.0, 21626.0)	(26.0, 39402.0)	(27.0, 64990.0)	(28.0, 100008.0)	(29.0, 144627.0)	(30.0, 201121.0)	(31.0, 272828.0)	(32.0, 380400.0)	(33.0, 583847.0)	(34.0, 1201547.0)	(35.0, 2685814.0)					
230fTBTw5_S00_L004_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 30.0)	(20.0, 173.0)	(21.0, 656.0)	(22.0, 1822.0)	(23.0, 4712.0)	(24.0, 10386.0)	(25.0, 20601.0)	(26.0, 37141.0)	(27.0, 62021.0)	(28.0, 95934.0)	(29.0, 138854.0)	(30.0, 191829.0)	(31.0, 261656.0)	(32.0, 362258.0)	(33.0, 556381.0)	(34.0, 1150254.0)	(35.0, 2513596.0)					
238mDMSOw5_S00_L001_R1_001	(16.0, 3.0)	(17.0, 7.0)	(18.0, 30.0)	(19.0, 245.0)	(20.0, 1158.0)	(21.0, 3525.0)	(22.0, 8524.0)	(23.0, 17607.0)	(24.0, 33719.0)	(25.0, 60894.0)	(26.0, 104123.0)	(27.0, 165338.0)	(28.0, 246772.0)	(29.0, 347668.0)	(30.0, 476443.0)	(31.0, 645311.0)	(32.0, 904397.0)	(33.0, 1412662.0)	(34.0, 3067934.0)	(35.0, 9713011.0)				
238mDMSOw5_S00_L002_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 11.0)	(18.0, 53.0)	(19.0, 298.0)	(20.0, 1216.0)	(21.0, 3889.0)	(22.0, 8954.0)	(23.0, 17778.0)	(24.0, 33333.0)	(25.0, 60271.0)	(26.0, 102519.0)	(27.0, 163182.0)	(28.0, 244591.0)	(29.0, 348078.0)	(30.0, 476493.0)	(31.0, 646854.0)	(32.0, 908794.0)	(33.0, 1419300.0)	(34.0, 3063547.0)	(35.0, 9640797.0)			
238mDMSOw5_S00_L003_R1_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 33.0)	(19.0, 239.0)	(20.0, 1038.0)	(21.0, 3599.0)	(22.0, 8819.0)	(23.0, 19219.0)	(24.0, 37753.0)	(25.0, 68304.0)	(26.0, 115211.0)	(27.0, 181085.0)	(28.0, 268052.0)	(29.0, 375686.0)	(30.0, 506728.0)	(31.0, 677363.0)	(32.0, 939623.0)	(33.0, 1456230.0)	(34.0, 3143928.0)	(35.0, 9103018.0)			
238mDMSOw5_S00_L004_R1_001	(17.0, 4.0)	(18.0, 31.0)	(19.0, 231.0)	(20.0, 961.0)	(21.0, 3298.0)	(22.0, 8208.0)	(23.0, 17550.0)	(24.0, 34928.0)	(25.0, 65180.0)	(26.0, 111628.0)	(27.0, 178222.0)	(28.0, 265220.0)	(29.0, 371433.0)	(30.0, 502530.0)	(31.0, 674134.0)	(32.0, 930468.0)	(33.0, 1444370.0)	(34.0, 3102499.0)	(35.0, 8815398.0)					
239mDMSOw5_S00_L001_R1_001	(16.0, 1.0)	(17.0, 7.0)	(18.0, 22.0)	(19.0, 224.0)	(20.0, 1086.0)	(21.0, 3308.0)	(22.0, 7551.0)	(23.0, 14729.0)	(24.0, 28041.0)	(25.0, 51128.0)	(26.0, 86258.0)	(27.0, 138065.0)	(28.0, 207743.0)	(29.0, 296018.0)	(30.0, 408128.0)	(31.0, 556841.0)	(32.0, 780712.0)	(33.0, 1232520.0)	(34.0, 2746560.0)	(35.0, 9017705.0)				
239mDMSOw5_S00_L002_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 41.0)	(19.0, 247.0)	(20.0, 1188.0)	(21.0, 3450.0)	(22.0, 7811.0)	(23.0, 15465.0)	(24.0, 28054.0)	(25.0, 50512.0)	(26.0, 86568.0)	(27.0, 137710.0)	(28.0, 208618.0)	(29.0, 298659.0)	(30.0, 413882.0)	(31.0, 564985.0)	(32.0, 797834.0)	(33.0, 1256934.0)	(34.0, 2774517.0)	(35.0, 8931533.0)		
239mDMSOw5_S00_L003_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 8.0)	(18.0, 38.0)	(19.0, 241.0)	(20.0, 1021.0)	(21.0, 3321.0)	(22.0, 7710.0)	(23.0, 16160.0)	(24.0, 30835.0)	(25.0, 56874.0)	(26.0, 95922.0)	(27.0, 152757.0)	(28.0, 227334.0)	(29.0, 322760.0)	(30.0, 440108.0)	(31.0, 593587.0)	(32.0, 826981.0)	(33.0, 1295627.0)	(34.0, 2876888.0)	(35.0, 8564275.0)			
239mDMSOw5_S00_L004_R1_001	(17.0, 6.0)	(18.0, 24.0)	(19.0, 180.0)	(20.0, 957.0)	(21.0, 3010.0)	(22.0, 7477.0)	(23.0, 15568.0)	(24.0, 30330.0)	(25.0, 56145.0)	(26.0, 97494.0)	(27.0, 156397.0)	(28.0, 234582.0)	(29.0, 333316.0)	(30.0, 453659.0)	(31.0, 611094.0)	(32.0, 845668.0)	(33.0, 1320558.0)	(34.0, 2900860.0)	(35.0, 8356214.0)					
240mTBTw5_S00_L001_R1_001	(16.0, 1.0)	(17.0, 7.0)	(18.0, 42.0)	(19.0, 264.0)	(20.0, 1256.0)	(21.0, 3777.0)	(22.0, 8801.0)	(23.0, 16749.0)	(24.0, 29851.0)	(25.0, 52496.0)	(26.0, 85927.0)	(27.0, 135584.0)	(28.0, 202529.0)	(29.0, 287833.0)	(30.0, 394983.0)	(31.0, 534233.0)	(32.0, 744733.0)	(33.0, 1167394.0)	(34.0, 2631317.0)	(35.0, 9260345.0)				
240mTBTw5_S00_L002_R1_001	(15.0, 3.0)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 62.0)	(19.0, 301.0)	(20.0, 1468.0)	(21.0, 4411.0)	(22.0, 9569.0)	(23.0, 17728.0)	(24.0, 30472.0)	(25.0, 51699.0)	(26.0, 86050.0)	(27.0, 135297.0)	(28.0, 203039.0)	(29.0, 289793.0)	(30.0, 396635.0)	(31.0, 537524.0)	(32.0, 752146.0)	(33.0, 1180083.0)	(34.0, 2636464.0)	(35.0, 9277772.0)			
240mTBTw5_S00_L003_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 30.0)	(19.0, 224.0)	(20.0, 1159.0)	(21.0, 3831.0)	(22.0, 9142.0)	(23.0, 18119.0)	(24.0, 33064.0)	(25.0, 57934.0)	(26.0, 96687.0)	(27.0, 151830.0)	(28.0, 225479.0)	(29.0, 316835.0)	(30.0, 429096.0)	(31.0, 574286.0)	(32.0, 794720.0)	(33.0, 1235504.0)	(34.0, 2767423.0)	(35.0, 8891516.0)				
240mTBTw5_S00_L004_R1_001	(16.0, 1.0)	(17.0, 4.0)	(18.0, 41.0)	(19.0, 228.0)	(20.0, 1154.0)	(21.0, 3707.0)	(22.0, 8976.0)	(23.0, 17552.0)	(24.0, 32787.0)	(25.0, 57767.0)	(26.0, 97214.0)	(27.0, 154293.0)	(28.0, 229903.0)	(29.0, 324245.0)	(30.0, 439514.0)	(31.0, 587368.0)	(32.0, 808733.0)	(33.0, 1248043.0)	(34.0, 2772557.0)	(35.0, 8837317.0)				
241mTBTw5_S00_L001_R1_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 70.0)	(19.0, 333.0)	(20.0, 1653.0)	(21.0, 4995.0)	(22.0, 11259.0)	(23.0, 20609.0)	(24.0, 36858.0)	(25.0, 64237.0)	(26.0, 107109.0)	(27.0, 168318.0)	(28.0, 251107.0)	(29.0, 355078.0)	(30.0, 486068.0)	(31.0, 656827.0)	(32.0, 917673.0)	(33.0, 1447840.0)	(34.0, 3223126.0)	(35.0, 9924276.0)	
241mTBTw5_S00_L002_R1_001	(15.0, 4.0)	(16.0, 6.0)	(17.0, 8.0)	(18.0, 77.0)	(19.0, 406.0)	(20.0, 1765.0)	(21.0, 5484.0)	(22.0, 11930.0)	(23.0, 21451.0)	(24.0, 37281.0)	(25.0, 63994.0)	(26.0, 106530.0)	(27.0, 168409.0)	(28.0, 252501.0)	(29.0, 356779.0)	(30.0, 490766.0)	(31.0, 666195.0)	(32.0, 934942.0)	(33.0, 1476021.0)	(34.0, 3250775.0)	(35.0, 9719082.0)			
241mTBTw5_S00_L003_R1_001	(14.0, 2.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 49.0)	(19.0, 294.0)	(20.0, 1526.0)	(21.0, 4777.0)	(22.0, 11138.0)	(23.0, 22149.0)	(24.0, 40922.0)	(25.0, 72388.0)	(26.0, 120767.0)	(27.0, 188075.0)	(28.0, 276043.0)	(29.0, 388160.0)	(30.0, 523323.0)	(31.0, 701758.0)	(32.0, 972824.0)	(33.0, 1529394.0)	(34.0, 3365329.0)	(35.0, 9304620.0)		
241mTBTw5_S00_L004_R1_001	(16.0, 2.0)	(17.0, 10.0)	(18.0, 38.0)	(19.0, 268.0)	(20.0, 1281.0)	(21.0, 4424.0)	(22.0, 10837.0)	(23.0, 21395.0)	(24.0, 39927.0)	(25.0, 71997.0)	(26.0, 120727.0)	(27.0, 189287.0)	(28.0, 281026.0)	(29.0, 395644.0)	(30.0, 534414.0)	(31.0, 715171.0)	(32.0, 987606.0)	(33.0, 1540023.0)	(34.0, 3357605.0)	(35.0, 8901319.0)				
242mTBTw5_S00_L001_R1_001	(16.0, 3.0)	(17.0, 8.0)	(18.0, 39.0)	(19.0, 306.0)	(20.0, 1428.0)	(21.0, 4698.0)	(22.0, 10477.0)	(23.0, 20102.0)	(24.0, 35126.0)	(25.0, 61699.0)	(26.0, 102294.0)	(27.0, 160830.0)	(28.0, 238519.0)	(29.0, 337026.0)	(30.0, 461252.0)	(31.0, 621689.0)	(32.0, 869388.0)	(33.0, 1365293.0)	(34.0, 2996203.0)	(35.0, 8777811.0)				
242mTBTw5_S00_L002_R1_001	(16.0, 5.0)	(17.0, 6.0)	(18.0, 51.0)	(19.0, 322.0)	(20.0, 1637.0)	(21.0, 4839.0)	(22.0, 10862.0)	(23.0, 20414.0)	(24.0, 35139.0)	(25.0, 60796.0)	(26.0, 101105.0)	(27.0, 159239.0)	(28.0, 237460.0)	(29.0, 337779.0)	(30.0, 461863.0)	(31.0, 628863.0)	(32.0, 881596.0)	(33.0, 1382821.0)	(34.0, 3009923.0)	(35.0, 8520707.0)				
242mTBTw5_S00_L003_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 37.0)	(19.0, 254.0)	(20.0, 1359.0)	(21.0, 4540.0)	(22.0, 10821.0)	(23.0, 21270.0)	(24.0, 38997.0)	(25.0, 68769.0)	(26.0, 114895.0)	(27.0, 178759.0)	(28.0, 262606.0)	(29.0, 368106.0)	(30.0, 495990.0)	(31.0, 664661.0)	(32.0, 919609.0)	(33.0, 1435935.0)	(34.0, 3109488.0)	(35.0, 8194436.0)			
242mTBTw5_S00_L004_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 34.0)	(19.0, 237.0)	(20.0, 1180.0)	(21.0, 3931.0)	(22.0, 9662.0)	(23.0, 19857.0)	(24.0, 37563.0)	(25.0, 67248.0)	(26.0, 113798.0)	(27.0, 179412.0)	(28.0, 265604.0)	(29.0, 372893.0)	(30.0, 502110.0)	(31.0, 670014.0)	(32.0, 926194.0)	(33.0, 1439554.0)	(34.0, 3086827.0)	(35.0, 7772777.0)			
297fTBTw1_S00_L001_R1_001	(18.0, 7.0)	(19.0, 72.0)	(20.0, 311.0)	(21.0, 1132.0)	(22.0, 2729.0)	(23.0, 5736.0)	(24.0, 11190.0)	(25.0, 21277.0)	(26.0, 37234.0)	(27.0, 61644.0)	(28.0, 96080.0)	(29.0, 140754.0)	(30.0, 198222.0)	(31.0, 270952.0)	(32.0, 377598.0)	(33.0, 581268.0)	(34.0, 1269622.0)	(35.0, 3464375.0)						
297fTBTw1_S00_L002_R1_001	(18.0, 10.0)	(19.0, 58.0)	(20.0, 280.0)	(21.0, 1101.0)	(22.0, 2660.0)	(23.0, 5514.0)	(24.0, 10803.0)	(25.0, 20007.0)	(26.0, 35931.0)	(27.0, 59846.0)	(28.0, 93572.0)	(29.0, 138717.0)	(30.0, 195576.0)	(31.0, 270940.0)	(32.0, 379699.0)	(33.0, 587797.0)	(34.0, 1265378.0)	(35.0, 3277643.0)						
297fTBTw1_S00_L003_R1_001	(18.0, 5.0)	(19.0, 63.0)	(20.0, 264.0)	(21.0, 1003.0)	(22.0, 2706.0)	(23.0, 6067.0)	(24.0, 12461.0)	(25.0, 23847.0)	(26.0, 41864.0)	(27.0, 68918.0)	(28.0, 107579.0)	(29.0, 155308.0)	(30.0, 217043.0)	(31.0, 293520.0)	(32.0, 403275.0)	(33.0, 617485.0)	(34.0, 1309638.0)	(35.0, 3196712.0)						
297fTBTw1_S00_L004_R1_001	(18.0, 8.0)	(19.0, 50.0)	(20.0, 245.0)	(21.0, 908.0)	(22.0, 2438.0)	(23.0, 5730.0)	(24.0, 12278.0)	(25.0, 23219.0)	(26.0, 41276.0)	(27.0, 68840.0)	(28.0, 106154.0)	(29.0, 155297.0)	(30.0, 213631.0)	(31.0, 289172.0)	(32.0, 396599.0)	(33.0, 602301.0)	(34.0, 1265715.0)	(35.0, 3025501.0)						
298mTBTw1_S00_L001_R1_001	(16.0, 2.0)	(17.0, 6.0)	(18.0, 38.0)	(19.0, 231.0)	(20.0, 1140.0)	(21.0, 3896.0)	(22.0, 9366.0)	(23.0, 18563.0)	(24.0, 34365.0)	(25.0, 60704.0)	(26.0, 102273.0)	(27.0, 162760.0)	(28.0, 243834.0)	(29.0, 345728.0)	(30.0, 472298.0)	(31.0, 632144.0)	(32.0, 872750.0)	(33.0, 1343010.0)	(34.0, 2945006.0)	(35.0, 9400259.0)				
298mTBTw1_S00_L002_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 44.0)	(19.0, 262.0)	(20.0, 1318.0)	(21.0, 4103.0)	(22.0, 9801.0)	(23.0, 18997.0)	(24.0, 34088.0)	(25.0, 59551.0)	(26.0, 101265.0)	(27.0, 159886.0)	(28.0, 241539.0)	(29.0, 343400.0)	(30.0, 470436.0)	(31.0, 632926.0)	(32.0, 872510.0)	(33.0, 1341070.0)	(34.0, 2914082.0)	(35.0, 9274019.0)			
298mTBTw1_S00_L003_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 24.0)	(19.0, 240.0)	(20.0, 1176.0)	(21.0, 3895.0)	(22.0, 9665.0)	(23.0, 20741.0)	(24.0, 39545.0)	(25.0, 70327.0)	(26.0, 117098.0)	(27.0, 183678.0)	(28.0, 273050.0)	(29.0, 383322.0)	(30.0, 515257.0)	(31.0, 682568.0)	(32.0, 931527.0)	(33.0, 1419112.0)	(34.0, 3067202.0)	(35.0, 8875969.0)				
298mTBTw1_S00_L004_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 30.0)	(19.0, 205.0)	(20.0, 994.0)	(21.0, 3570.0)	(22.0, 8843.0)	(23.0, 19139.0)	(24.0, 36969.0)	(25.0, 67243.0)	(26.0, 113847.0)	(27.0, 180582.0)	(28.0, 269486.0)	(29.0, 379893.0)	(30.0, 509956.0)	(31.0, 673806.0)	(32.0, 915724.0)	(33.0, 1388718.0)	(34.0, 2970059.0)	(35.0, 8636547.0)			
299mDMSOw5_S00_L001_R1_001	(15.0, 3.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 45.0)	(19.0, 273.0)	(20.0, 1429.0)	(21.0, 4437.0)	(22.0, 10387.0)	(23.0, 20071.0)	(24.0, 36565.0)	(25.0, 65188.0)	(26.0, 109854.0)	(27.0, 176893.0)	(28.0, 264974.0)	(29.0, 379544.0)	(30.0, 520086.0)	(31.0, 699708.0)	(32.0, 964834.0)	(33.0, 1490128.0)	(34.0, 3365602.0)	(35.0, 11177264.0)			
299mDMSOw5_S00_L002_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 12.0)	(18.0, 63.0)	(19.0, 352.0)	(20.0, 1502.0)	(21.0, 4725.0)	(22.0, 11061.0)	(23.0, 20687.0)	(24.0, 36202.0)	(25.0, 64039.0)	(26.0, 108635.0)	(27.0, 173775.0)	(28.0, 263361.0)	(29.0, 378932.0)	(30.0, 521101.0)	(31.0, 701536.0)	(32.0, 970584.0)	(33.0, 1498588.0)	(34.0, 3349147.0)	(35.0, 10868278.0)		
299mDMSOw5_S00_L003_R1_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 7.0)	(18.0, 44.0)	(19.0, 273.0)	(20.0, 1299.0)	(21.0, 4455.0)	(22.0, 10859.0)	(23.0, 22051.0)	(24.0, 41992.0)	(25.0, 75499.0)	(26.0, 126497.0)	(27.0, 200115.0)	(28.0, 299174.0)	(29.0, 421631.0)	(30.0, 570855.0)	(31.0, 758872.0)	(32.0, 1036605.0)	(33.0, 1585241.0)	(34.0, 3527472.0)	(35.0, 10612761.0)			
299mDMSOw5_S00_L004_R1_001	(17.0, 2.0)	(18.0, 25.0)	(19.0, 224.0)	(20.0, 1133.0)	(21.0, 3921.0)	(22.0, 10018.0)	(23.0, 20628.0)	(24.0, 39769.0)	(25.0, 72305.0)	(26.0, 124352.0)	(27.0, 198376.0)	(28.0, 298156.0)	(29.0, 421337.0)	(30.0, 571429.0)	(31.0, 756053.0)	(32.0, 1029613.0)	(33.0, 1566919.0)	(34.0, 3442310.0)	(35.0, 10144683.0)					
