Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
204fTBTw1_S00_L001_R1_001	(1.0, 36.29535535966553)	(2.0, 15.450489858814532)	(3.0, 6.138527570723849)	(4.0, 2.610576140318276)	(5.0, 1.4638790912634803)	(6.0, 1.0554306757118046)	(7.0, 0.8692921141719452)	(8.0, 0.7818016692480964)	(9.0, 0.7361543457379169)	('>10', 11.056493083558433)	('>50', 6.170839514676929)	('>100', 15.244220028119232)	('>500', 2.0114401665481574)	('>1k', 0.11550038144187698)	('>5k', 0.0)	('>10k+', 0.0)
204fTBTw1_S00_L002_R1_001	(1.0, 36.49900487103752)	(2.0, 15.802549192481443)	(3.0, 6.228939312800165)	(4.0, 2.661477838692625)	(5.0, 1.4754520392072752)	(6.0, 1.1149448410771803)	(7.0, 0.9043975637045596)	(8.0, 0.7742373986387123)	(9.0, 0.698169661100622)	('>10', 10.82835064657354)	('>50', 5.958126586038192)	('>100', 14.936127927858465)	('>500', 2.024785506787414)	('>1k', 0.09343661400234905)	('>5k', 0.0)	('>10k+', 0.0)
204fTBTw1_S00_L003_R1_001	(1.0, 37.50636782475693)	(2.0, 15.418788412554763)	(3.0, 6.168884132398386)	(4.0, 2.546493092893028)	(5.0, 1.4631626649620828)	(6.0, 1.0664718633434473)	(7.0, 0.8660014466709326)	(8.0, 0.8059414630015548)	(9.0, 0.6971267348169601)	('>10', 10.906008125582701)	('>50', 5.817322681833648)	('>100', 14.701197484902009)	('>500', 1.9203959859004027)	('>1k', 0.11583808638317959)	('>5k', 0.0)	('>10k+', 0.0)
204fTBTw1_S00_L004_R1_001	(1.0, 36.77288298814292)	(2.0, 15.391404935898786)	(3.0, 6.1382459602823145)	(4.0, 2.532446251217851)	(5.0, 1.4250955566930352)	(6.0, 1.0682978669420817)	(7.0, 0.886289464001799)	(8.0, 0.7764331233420648)	(9.0, 0.6702128581161318)	('>10', 10.880144619478415)	('>50', 6.001624595635605)	('>100', 15.229268934762516)	('>500', 2.0844089531855547)	('>1k', 0.14324389230085283)	('>5k', 0.0)	('>10k+', 0.0)
205fTBTw1_S00_L001_R1_001	(1.0, 54.802963573696616)	(2.0, 14.019133297260819)	(3.0, 3.895040245794476)	(4.0, 1.867918367104131)	(5.0, 1.325148929530557)	(6.0, 1.0609652830543235)	(7.0, 1.003357210419261)	(8.0, 0.8351121696349613)	(9.0, 0.7289398407783403)	('>10', 10.647379253394378)	('>50', 4.274783749118731)	('>100', 5.386799723925403)	('>500', 0.15245835628802706)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
205fTBTw1_S00_L002_R1_001	(1.0, 54.84350020284982)	(2.0, 14.336188708637915)	(3.0, 3.8498661414898314)	(4.0, 1.9149363962152437)	(5.0, 1.3998948019366662)	(6.0, 1.139561420792983)	(7.0, 0.9376925693679641)	(8.0, 0.8596101396289151)	(9.0, 0.7227310250569381)	('>10', 10.55508281595922)	('>50', 4.031581247210119)	('>100', 5.284144039424443)	('>500', 0.12521049142993707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
205fTBTw1_S00_L003_R1_001	(1.0, 55.402604372356976)	(2.0, 14.054701504325118)	(3.0, 3.975606734153752)	(4.0, 1.8569628616446603)	(5.0, 1.3927178730143663)	(6.0, 1.1258305427730868)	(7.0, 0.9651690653580326)	(8.0, 0.8742751492335801)	(9.0, 0.7758081904253978)	('>10', 10.275513204543552)	('>50', 3.961149118104125)	('>100', 5.215093119369135)	('>500', 0.12456826469835419)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
205fTBTw1_S00_L004_R1_001	(1.0, 55.313431713408676)	(2.0, 14.12218320004221)	(3.0, 3.85225655639043)	(4.0, 1.81546000242282)	(5.0, 1.3968930422000647)	(6.0, 1.1095603018963753)	(7.0, 0.9346232387060851)	(8.0, 0.8388203490218716)	(9.0, 0.7393276784780074)	('>10', 10.214384021127213)	('>50', 3.9446764945610724)	('>100', 5.556793563036566)	('>500', 0.16158983870863333)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
206fTBTw1_S00_L001_R1_001	(1.0, 53.81840721539062)	(2.0, 11.917621602064267)	(3.0, 3.5459823948638283)	(4.0, 1.9223556272772044)	(5.0, 1.429342561508997)	(6.0, 1.169300518101813)	(7.0, 1.0153751967415543)	(8.0, 0.8652319849649793)	(9.0, 0.7631293939229131)	('>10', 11.831649008320857)	('>50', 4.953935820154529)	('>100', 6.614565473541961)	('>500', 0.1531032031463163)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
206fTBTw1_S00_L002_R1_001	(1.0, 54.788322473468185)	(2.0, 12.122782866636838)	(3.0, 3.4310496403630006)	(4.0, 1.927947248992995)	(5.0, 1.5273994463815581)	(6.0, 1.1727610161385758)	(7.0, 1.028368114945613)	(8.0, 0.8734566549398824)	(9.0, 0.7992804531670067)	('>10', 11.195092379217172)	('>50', 4.6531782104475585)	('>100', 6.315443156229245)	('>500', 0.164918339072396)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
