Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
227fDMSOw5_S00_L002_R1_001	(1.0, 60.050236991140295)	(2.0, 9.20936863162631)	(3.0, 2.7839417604495913)	(4.0, 1.6650236708904975)	(5.0, 1.3054771608124032)	(6.0, 1.1071971254310633)	(7.0, 0.9552640814654398)	(8.0, 0.7771370374067159)	(9.0, 0.7501710161570956)	('>10', 10.47122950286465)	('>50', 4.69753668589513)	('>100', 6.166745260952206)	('>500', 0.06067107490860331)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
227fDMSOw5_S00_L003_R1_001	(1.0, 60.90452464646885)	(2.0, 8.866388639345558)	(3.0, 2.6046160652027432)	(4.0, 1.6691367890870037)	(5.0, 1.28788182813661)	(6.0, 1.0150494871196172)	(7.0, 0.9002238303667845)	(8.0, 0.7996242410223505)	(9.0, 0.7219333765547589)	('>10', 10.600259826802885)	('>50', 4.6722282350783955)	('>100', 5.884052151108428)	('>500', 0.07408088370608606)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
227fDMSOw5_S00_L004_R1_001	(1.0, 60.63809402217323)	(2.0, 8.579676018186055)	(3.0, 2.5382914164278523)	(4.0, 1.5750088941183655)	(5.0, 1.1775723086248107)	(6.0, 1.0334031468593508)	(7.0, 0.8748841849848114)	(8.0, 0.7505699114176267)	(9.0, 0.6949901897978646)	('>10', 10.812776375620412)	('>50', 5.012109166792527)	('>100', 6.221251349765082)	('>500', 0.09137301523207218)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
228fTBTw5_S00_L001_R1_001	(1.0, 51.42607052142727)	(2.0, 11.678310206285303)	(3.0, 3.1407351666450314)	(4.0, 1.562402265963102)	(5.0, 1.100387158902831)	(6.0, 0.9329526866463254)	(7.0, 0.7845421400974042)	(8.0, 0.7284792777436498)	(9.0, 0.6726805005166938)	('>10', 10.136028052444027)	('>50', 5.342448676024703)	('>100', 11.282012207761094)	('>500', 1.1303715659177447)	('>1k', 0.08257957362482315)	('>5k', 0.0)	('>10k+', 0.0)
228fTBTw5_S00_L002_R1_001	(1.0, 51.75081515544528)	(2.0, 11.79977773980614)	(3.0, 3.187302080006045)	(4.0, 1.676840289142374)	(5.0, 1.180160175228615)	(6.0, 0.9750662447784055)	(7.0, 0.8782583718080968)	(8.0, 0.7124274128439322)	(9.0, 0.6383500948004243)	('>10', 9.812898187300952)	('>50', 5.096592147587809)	('>100', 11.105394483458207)	('>500', 1.125978272252071)	('>1k', 0.06013934554172601)	('>5k', 0.0)	('>10k+', 0.0)
228fTBTw5_S00_L003_R1_001	(1.0, 52.66644818799855)	(2.0, 11.6427470006008)	(3.0, 3.088324666953369)	(4.0, 1.52989181751096)	(5.0, 1.1371975028044023)	(6.0, 0.9320654500287998)	(7.0, 0.8285373851761344)	(8.0, 0.7018535906300282)	(9.0, 0.6449638728009539)	('>10', 9.952115060646467)	('>50', 5.130537066165954)	('>100', 10.67808564457369)	('>500', 1.0307819634700996)	('>1k', 0.03645079063970408)	('>5k', 0.0)	('>10k+', 0.0)
228fTBTw5_S00_L004_R1_001	(1.0, 52.2467802099214)	(2.0, 11.577760193634166)	(3.0, 3.1077150907773334)	(4.0, 1.5075863892606032)	(5.0, 1.1191094674336357)	(6.0, 0.9134092603656416)	(7.0, 0.79496906894859)	(8.0, 0.7340840004839153)	(9.0, 0.6370533634231829)	('>10', 9.795374167219395)	('>50', 5.138177575425417)	('>100', 11.125512960159908)	('>500', 1.243410832244865)	('>1k', 0.059057420701873156)	('>5k', 0.0)	('>10k+', 0.0)
230fTBTw5_S00_L001_R1_001	(1.0, 58.86616540298305)	(2.0, 12.617360513446197)	(3.0, 3.1734155741530294)	(4.0, 1.5826316617360665)	(5.0, 1.1732108708184223)	(6.0, 0.9661993091613419)	(7.0, 0.8136052176956938)	(8.0, 0.6885271534267138)	(9.0, 0.6532376967409331)	('>10', 9.884303426812508)	('>50', 4.220205195278448)	('>100', 5.240163528888635)	('>500', 0.12097444885892207)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
230fTBTw5_S00_L002_R1_001	(1.0, 59.48982692140432)	(2.0, 12.294618847065951)	(3.0, 3.310285299062811)	(4.0, 1.6465780182963352)	(5.0, 1.2523511351516217)	(6.0, 1.0316520256875923)	(7.0, 0.8741299956933722)	(8.0, 0.7500562398917424)	(9.0, 0.7072405850485689)	('>10', 9.715940334047607)	('>50', 3.8966174049917877)	('>100', 4.907154105827093)	('>500', 0.12354908783139289)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
230fTBTw5_S00_L003_R1_001	(1.0, 60.76753909179728)	(2.0, 11.808046269621334)	(3.0, 3.088396993013995)	(4.0, 1.670779211977509)	(5.0, 1.1769555058461494)	(6.0, 1.0065453184974327)	(7.0, 0.8416092301952288)	(8.0, 0.7248879032281563)	(9.0, 0.614870911452635)	('>10', 9.573156984692353)	('>50', 3.8175678930255965)	('>100', 4.81699537766487)	('>500', 0.09264930898746593)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
230fTBTw5_S00_L004_R1_001	(1.0, 60.511286852371015)	(2.0, 11.867366282777347)	(3.0, 3.111895727199689)	(4.0, 1.5328128836159405)	(5.0, 1.2108400684040947)	(6.0, 1.007090511521998)	(7.0, 0.8440780547434834)	(8.0, 0.7073044743045335)	(9.0, 0.6165784669242291)	('>10', 9.524413484395435)	('>50', 3.9258445055256797)	('>100', 5.03344552998287)	('>500', 0.10704315823372998)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
238mDMSOw5_S00_L001_R1_001	(1.0, 52.31536477961326)	(2.0, 17.998028028786152)	(3.0, 5.0793863697165085)	(4.0, 1.6262775408874737)	(5.0, 0.8475057914852162)	(6.0, 0.6407332307420235)	(7.0, 0.5271943793726687)	(8.0, 0.4742473824518093)	(9.0, 0.45844233221443326)	('>10', 7.170930859922235)	('>50', 3.3447975062879562)	('>100', 7.666615967440572)	('>500', 1.5929582637576094)	('>1k', 0.2575175673222364)	('>5k', 0.0)	('>10k+', 0.0)
238mDMSOw5_S00_L002_R1_001	(1.0, 52.53129689490946)	(2.0, 17.0983720115612)	(3.0, 4.971163435386804)	(4.0, 1.6628525276197255)	(5.0, 1.0201972019185497)	(6.0, 0.7489478922418624)	(7.0, 0.6843682863501127)	(8.0, 0.5436336068620137)	(9.0, 0.49915516140447136)	('>10', 7.846025438638217)	('>50', 3.071948828716013)	('>100', 7.352362492515731)	('>500', 1.668084007655346)	('>1k', 0.3015922142206824)	('>5k', 0.0)	('>10k+', 0.0)
238mDMSOw5_S00_L003_R1_001	(1.0, 53.67098406156031)	(2.0, 16.758882556105462)	(3.0, 4.892100870975029)	(4.0, 1.6251036624832964)	(5.0, 0.8998706961157165)	(6.0, 0.6849154965369089)	(7.0, 0.6161648066777811)	(8.0, 0.5479329217584004)	(9.0, 0.5313360775022251)	('>10', 7.570298525846851)	('>50', 3.248161724071851)	('>100', 7.18069855033288)	('>500', 1.5247935574749019)	('>1k', 0.24875649255844107)	('>5k', 0.0)	('>10k+', 0.0)
238mDMSOw5_S00_L004_R1_001	(1.0, 52.98182871748622)	(2.0, 17.40648206171626)	(3.0, 5.038738552723573)	(4.0, 1.6913883836743315)	(5.0, 0.8669598772309491)	(6.0, 0.6518709271262895)	(7.0, 0.5843043752137287)	(8.0, 0.4808465963203183)	(9.0, 0.4756873240871184)	('>10', 7.11650684079818)	('>50', 3.2722275017902946)	('>100', 7.526328562159443)	('>500', 1.6340008311155199)	('>1k', 0.27282944855792546)	('>5k', 0.0)	('>10k+', 0.0)
239mDMSOw5_S00_L001_R1_001	(1.0, 43.403309594087794)	(2.0, 13.501279800356143)	(3.0, 3.9079055309211927)	(4.0, 1.604054989395609)	(5.0, 1.1051856522509869)	(6.0, 0.8723537551192349)	(7.0, 0.7669271875448109)	(8.0, 0.6910990802846083)	(9.0, 0.5823892235414052)	('>10', 11.089049606929258)	('>50', 5.003161131142959)	('>100', 12.123572237113262)	('>500', 3.932064245821025)	('>1k', 1.4176479654915681)	('>5k', 0.0)	('>10k+', 0.0)
239mDMSOw5_S00_L002_R1_001	(1.0, 43.31651748140817)	(2.0, 13.68540432651611)	(3.0, 4.054991159131133)	(4.0, 1.6507437718083675)	(5.0, 1.0619844178893243)	(6.0, 0.9635600365784427)	(7.0, 0.7974231029684137)	(8.0, 0.7537345428121137)	(9.0, 0.6593401187338157)	('>10', 11.044219824496276)	('>50', 4.794796170601714)	('>100', 11.78003165222913)	('>500', 3.924831858858855)	('>1k', 1.512421535968299)	('>5k', 0.0)	('>10k+', 0.0)
239mDMSOw5_S00_L003_R1_001	(1.0, 44.02435001670714)	(2.0, 13.287951640906343)	(3.0, 3.820659766012385)	(4.0, 1.6301633389356436)	(5.0, 1.082768313951798)	(6.0, 0.9590534959729193)	(7.0, 0.8550244661747688)	(8.0, 0.6854484191311775)	(9.0, 0.6563596634809209)	('>10', 11.33928954627092)	('>50', 4.844214369604818)	('>100', 11.71933270558428)	('>500', 3.7829037498016667)	('>1k', 1.3124805074653079)	('>5k', 0.0)	('>10k+', 0.0)
239mDMSOw5_S00_L004_R1_001	(1.0, 44.16171815446589)	(2.0, 13.086367112938238)	(3.0, 3.899495909449872)	(4.0, 1.591203863019391)	(5.0, 1.0629787354333071)	(6.0, 0.9220050505587631)	(7.0, 0.8174462587696885)	(8.0, 0.6673093086118578)	(9.0, 0.6113430465000693)	('>10', 11.086560253830447)	('>50', 4.898287255451387)	('>100', 11.790086779187286)	('>500', 3.970752714257212)	('>1k', 1.4344455575266601)	('>5k', 0.0)	('>10k+', 0.0)
240mTBTw5_S00_L001_R1_001	(1.0, 41.171517685417236)	(2.0, 15.856336154145643)	(3.0, 5.126920928164986)	(4.0, 1.8659896850262)	(5.0, 1.098339633854376)	(6.0, 0.875700297766841)	(7.0, 0.7580041986155144)	(8.0, 0.7122609819263578)	(9.0, 0.6165174405013341)	('>10', 10.58701446590899)	('>50', 4.6600465492921055)	('>100', 11.444051018561975)	('>500', 3.6150633332908764)	('>1k', 1.6122376275277233)	('>5k', 0.0)	('>10k+', 0.0)
240mTBTw5_S00_L002_R1_001	(1.0, 41.03234989751135)	(2.0, 16.059582542425982)	(3.0, 5.233743019453976)	(4.0, 1.9564802160044328)	(5.0, 1.1646074579612495)	(6.0, 0.9495724045533909)	(7.0, 0.8703839156558606)	(8.0, 0.691440620431515)	(9.0, 0.6749457493798451)	('>10', 10.555344674801745)	('>50', 4.441180186606846)	('>100', 10.92201961406159)	('>500', 3.6915279019226115)	('>1k', 1.7568217992296142)	('>5k', 0.0)	('>10k+', 0.0)
240mTBTw5_S00_L003_R1_001	(1.0, 41.89918068715873)	(2.0, 15.692514346944106)	(3.0, 5.197451935425618)	(4.0, 1.9962134703082972)	(5.0, 1.188111939187942)	(6.0, 0.9046665578184614)	(7.0, 0.8294321265336728)	(8.0, 0.7047219373149892)	(9.0, 0.6645482055253286)	('>10', 10.461336321490323)	('>50', 4.57764801073842)	('>100', 10.93870782551562)	('>500', 3.457791456333424)	('>1k', 1.4876751797050516)	('>5k', 0.0)	('>10k+', 0.0)
240mTBTw5_S00_L004_R1_001	(1.0, 41.66094312423528)	(2.0, 15.842163246192678)	(3.0, 5.097074615299101)	(4.0, 1.9777075802827389)	(5.0, 1.1511947407123495)	(6.0, 0.8878056655989499)	(7.0, 0.684451919681423)	(8.0, 0.7166958453324079)	(9.0, 0.6288258632839684)	('>10', 10.489038355456064)	('>50', 4.48582703009695)	('>100', 11.032001810682777)	('>500', 3.657162957804242)	('>1k', 1.6891072453409477)	('>5k', 0.0)	('>10k+', 0.0)
241mTBTw5_S00_L001_R1_001	(1.0, 43.046888256746726)	(2.0, 18.072336612965056)	(3.0, 6.251279460566798)	(4.0, 2.264314225549524)	(5.0, 1.1205772134421508)	(6.0, 0.8108351237651646)	(7.0, 0.7015491920421237)	(8.0, 0.6379252759215813)	(9.0, 0.5590097852406483)	('>10', 8.809248768943887)	('>50', 4.027602372729734)	('>100', 9.760085496041517)	('>500', 2.8978702543841894)	('>1k', 1.0404779616611202)	('>5k', 0.0)	('>10k+', 0.0)
241mTBTw5_S00_L002_R1_001	(1.0, 42.889796983578655)	(2.0, 18.264286502514622)	(3.0, 6.263606151864074)	(4.0, 2.224136708634642)	(5.0, 1.147242444229829)	(6.0, 0.8338707130653522)	(7.0, 0.7107754600984143)	(8.0, 0.6360404178869795)	(9.0, 0.5645499489359117)	('>10', 9.081968631457594)	('>50', 3.837103844479762)	('>100', 9.43045337858514)	('>500', 2.9632272028750046)	('>1k', 1.152941611793953)	('>5k', 0.0)	('>10k+', 0.0)
241mTBTw5_S00_L003_R1_001	(1.0, 44.4363106924682)	(2.0, 17.759962517120094)	(3.0, 6.037803153189696)	(4.0, 2.1922180436422063)	(5.0, 1.178143568259867)	(6.0, 0.8942548148014327)	(7.0, 0.7155906068376613)	(8.0, 0.6244778244702658)	(9.0, 0.5524514277968369)	('>10', 8.907538354296335)	('>50', 3.916483052494556)	('>100', 9.231455176213148)	('>500', 2.6813193925661505)	('>1k', 0.8719913758434743)	('>5k', 0.0)	('>10k+', 0.0)
241mTBTw5_S00_L004_R1_001	(1.0, 44.86754002111338)	(2.0, 17.436702960288198)	(3.0, 6.056976337636589)	(4.0, 2.1407118214225775)	(5.0, 1.082084408385893)	(6.0, 0.8347493087116138)	(7.0, 0.6805161178066561)	(8.0, 0.6398447284338092)	(9.0, 0.5559256984300035)	('>10', 8.92049863641519)	('>50', 3.8388305513682837)	('>100', 9.250894058451967)	('>500', 2.7375998541186894)	('>1k', 0.9571254974171944)	('>5k', 0.0)	('>10k+', 0.0)
242mTBTw5_S00_L001_R1_001	(1.0, 45.02063237638849)	(2.0, 18.430296046124777)	(3.0, 6.127744169561289)	(4.0, 2.1677955068179995)	(5.0, 1.0848447274388686)	(6.0, 0.8471888131926419)	(7.0, 0.6518369383800149)	(8.0, 0.6071536371581582)	(9.0, 0.547087578748625)	('>10', 8.654659049158154)	('>50', 3.82367270721408)	('>100', 9.258447501827328)	('>500', 2.259792092907665)	('>1k', 0.5188488550820063)	('>5k', 0.0)	('>10k+', 0.0)
242mTBTw5_S00_L002_R1_001	(1.0, 44.95044188882032)	(2.0, 18.033214278947707)	(3.0, 6.305813123912654)	(4.0, 2.1780707643308244)	(5.0, 1.2108945187961053)	(6.0, 0.8548310410733059)	(7.0, 0.7791048245982103)	(8.0, 0.6643210499950614)	(9.0, 0.6156814798075538)	('>10', 8.918620367835056)	('>50', 3.8241093103540362)	('>100', 8.811661009406022)	('>500', 2.30627415008015)	('>1k', 0.5469621920430896)	('>5k', 0.0)	('>10k+', 0.0)
242mTBTw5_S00_L003_R1_001	(1.0, 46.421237424421065)	(2.0, 17.891251764479275)	(3.0, 5.764316066488532)	(4.0, 2.162982869731669)	(5.0, 1.155737990291578)	(6.0, 0.8456299081824252)	(7.0, 0.7422209284711423)	(8.0, 0.6777371951167301)	(9.0, 0.5654447550441277)	('>10', 8.882900784981327)	('>50', 3.7292582489276707)	('>100', 8.67864853084026)	('>500', 2.0279166072374597)	('>1k', 0.45471692578673195)	('>5k', 0.0)	('>10k+', 0.0)
242mTBTw5_S00_L004_R1_001	(1.0, 47.01075159970665)	(2.0, 17.797572036539755)	(3.0, 5.868196365960435)	(4.0, 2.033625159075951)	(5.0, 1.1095047003635201)	(6.0, 0.8746162307118721)	(7.0, 0.680347483490515)	(8.0, 0.5893753798428524)	(9.0, 0.5374997422846753)	('>10', 8.493439466032687)	('>50', 3.730688343754471)	('>100', 8.702648120316606)	('>500', 2.109513202481454)	('>1k', 0.4622221694386414)	('>5k', 0.0)	('>10k+', 0.0)
297fTBTw1_S00_L001_R1_001	(1.0, 63.78698973999346)	(2.0, 11.671266765945418)	(3.0, 3.114423187472864)	(4.0, 1.6386678633870242)	(5.0, 1.2679659253817932)	(6.0, 1.0003118155790893)	(7.0, 0.9293175444162863)	(8.0, 0.7512226278246141)	(9.0, 0.6281382520530503)	('>10', 9.778908149653702)	('>50', 3.1060853181813455)	('>100', 2.2908013211136833)	('>500', 0.03590148899764879)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
297fTBTw1_S00_L002_R1_001	(1.0, 63.32650110570943)	(2.0, 11.860537061097554)	(3.0, 3.146222913788841)	(4.0, 1.69911983055815)	(5.0, 1.3425814843204356)	(6.0, 1.1608752734813172)	(7.0, 0.9259418763409275)	(8.0, 0.7809984125528227)	(9.0, 0.7323999711366317)	('>10', 9.87201199690998)	('>50', 3.0133589931736737)	('>100', 2.1037401149062993)	('>500', 0.03571096602392044)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
297fTBTw1_S00_L003_R1_001	(1.0, 64.11626407170957)	(2.0, 11.538263817069911)	(3.0, 3.11820907834183)	(4.0, 1.7165830447090136)	(5.0, 1.2306112570055299)	(6.0, 1.0338285011259079)	(7.0, 0.9439852148887793)	(8.0, 0.7495620473847308)	(9.0, 0.7433720119032322)	('>10', 9.68577865720034)	('>50', 2.970373469115714)	('>100', 2.1202577052303293)	('>500', 0.032911124315271496)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
297fTBTw1_S00_L004_R1_001	(1.0, 64.82995433766348)	(2.0, 11.204930681198666)	(3.0, 2.9888194261969243)	(4.0, 1.6714968752857589)	(5.0, 1.3007424634882867)	(6.0, 1.0609154714107287)	(7.0, 0.895211327906287)	(8.0, 0.7620479444211187)	(9.0, 0.7102522777211612)	('>10', 9.468452296898677)	('>50', 2.948111956807741)	('>100', 2.1273595997414603)	('>500', 0.031705341259750115)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
298mTBTw1_S00_L001_R1_001	(1.0, 42.45712688087676)	(2.0, 22.473953866392275)	(3.0, 9.09612525689758)	(4.0, 3.340270138975136)	(5.0, 1.4514851493434096)	(6.0, 0.953175771702006)	(7.0, 0.7205635783888272)	(8.0, 0.6590878543283423)	(9.0, 0.5785209844883888)	('>10', 8.958690231947791)	('>50', 3.7043923573790862)	('>100', 5.28052730972668)	('>500', 0.28908951296805235)	('>1k', 0.03699110658578089)	('>5k', 0.0)	('>10k+', 0.0)
298mTBTw1_S00_L002_R1_001	(1.0, 41.99189885393345)	(2.0, 21.536530827474536)	(3.0, 8.495118089050417)	(4.0, 3.1490238633768133)	(5.0, 1.5688825255216767)	(6.0, 1.109490143404585)	(7.0, 0.8664421186857887)	(8.0, 0.7587146732735459)	(9.0, 0.6257702684470866)	('>10', 10.04902895657743)	('>50', 3.881105416632437)	('>100', 5.605076036936811)	('>500', 0.31881052322574865)	('>1k', 0.04410770345974581)	('>5k', 0.0)	('>10k+', 0.0)
298mTBTw1_S00_L003_R1_001	(1.0, 43.405934733974526)	(2.0, 21.159684070557205)	(3.0, 8.330076244940622)	(4.0, 3.0987213821241983)	(5.0, 1.457746663115492)	(6.0, 1.021596752129633)	(7.0, 0.8315636123201378)	(8.0, 0.7470413598006712)	(9.0, 0.6374227822560496)	('>10', 9.624072374530806)	('>50', 3.912983727851678)	('>100', 5.459115922080124)	('>500', 0.27022651446264717)	('>1k', 0.04381385985623366)	('>5k', 0.0)	('>10k+', 0.0)
298mTBTw1_S00_L004_R1_001	(1.0, 43.74318582552072)	(2.0, 21.51228280895989)	(3.0, 8.77368620134915)	(4.0, 3.1156827542050913)	(5.0, 1.4759764259531352)	(6.0, 0.9887896867462344)	(7.0, 0.7759949841385945)	(8.0, 0.720650595702315)	(9.0, 0.6078877036365974)	('>10', 9.018688154993372)	('>50', 3.675724490634473)	('>100', 5.274214795493518)	('>500', 0.27537625256100196)	('>1k', 0.04185932010593132)	('>5k', 0.0)	('>10k+', 0.0)
299mDMSOw5_S00_L001_R1_001	(1.0, 43.10401453322966)	(2.0, 23.93115993435428)	(3.0, 9.922382793456793)	(4.0, 3.5478850250445046)	(5.0, 1.4231739839557296)	(6.0, 0.8113571683020666)	(7.0, 0.6942202485408165)	(8.0, 0.5962211278949872)	(9.0, 0.5254486671216164)	('>10', 7.777518152282465)	('>50', 3.200092760064538)	('>100', 4.2202713826173115)	('>500', 0.18517450789222958)	('>1k', 0.061079715242917124)	('>5k', 0.0)	('>10k+', 0.0)
299mDMSOw5_S00_L002_R1_001	(1.0, 42.31482753953011)	(2.0, 23.172495518209583)	(3.0, 9.307688240145943)	(4.0, 3.430247209992631)	(5.0, 1.4401962746781873)	(6.0, 0.9608006078020999)	(7.0, 0.8110512620725032)	(8.0, 0.6683594879099544)	(9.0, 0.5841883310894093)	('>10', 8.928647686665705)	('>50', 3.5172033010801367)	('>100', 4.584782087007879)	('>500', 0.23170077645188825)	('>1k', 0.04781167736413031)	('>5k', 0.0)	('>10k+', 0.0)
299mDMSOw5_S00_L003_R1_001	(1.0, 43.3825562699536)	(2.0, 22.77736192028093)	(3.0, 9.094186515102336)	(4.0, 3.2899617511984616)	(5.0, 1.4214547899393315)	(6.0, 0.9711039867587534)	(7.0, 0.7838824129399738)	(8.0, 0.6794739789470587)	(9.0, 0.594275792234211)	('>10', 8.691621721997835)	('>50', 3.5112402780934215)	('>100', 4.513851741329311)	('>500', 0.2289392957930001)	('>1k', 0.06008954543191007)	('>5k', 0.0)	('>10k+', 0.0)
299mDMSOw5_S00_L004_R1_001	(1.0, 44.20931618549888)	(2.0, 23.044779058198085)	(3.0, 9.333732388307903)	(4.0, 3.2785423620214997)	(5.0, 1.555588531038192)	(6.0, 0.9298392878190743)	(7.0, 0.7451374422557452)	(8.0, 0.5831272325484891)	(9.0, 0.5213059271891769)	('>10', 8.063695886479449)	('>50', 3.2838346303851824)	('>100', 4.224601463047271)	('>500', 0.19167519888180803)	('>1k', 0.034824406329172476)	('>5k', 0.0)	('>10k+', 0.0)
