ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008361	GO:0008361	regulation of cell size	27/1023	216/25730	0.125	3.14393939393939	6.43856918944268	1.50607966271228e-07	7.12375680462908e-05	5.74616231122857e-05	Cyfip1/Trp73/Macf1/Sema6d/Add1/Smurf1/Gprc5b/Fxn/Opcml/Kcnma1/Cit/Pten/Cdh4/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Prkd1/Sin3a/Ano6/Abl1/Sema5a/Cxcl12/Hsp90ab1/Rgma/Prr16	27
GO:1990138	GO:1990138	neuron projection extension	26/1023	207/25730	0.1256038647343	3.15912750695359	6.34653771888053	2.31457781829161e-07	0.000100356236571427	8.09493136976197e-05	Cyfip1/Macf1/Sema6d/Smurf1/Fxn/Nedd4l/Pou4f3/Tiam1/Cit/Pten/Cdh4/Syt1/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Sin3a/Abl1/Sema5a/Ndn/Cxcl12/Prkn/Postn/Rnf157/Dclk1	26
GO:0050767	GO:0050767	regulation of neurogenesis	44/1023	483/25730	0.0910973084886128	2.2912353347136	5.8292588416984	3.26945880673824e-07	0.000118307235812167	9.5428942651124e-05	Cyfip1/Trp73/Cux2/Macf1/Sema6d/Smurf1/Grip1/Kdm4a/Fxn/Opcml/Wnt7b/Tiam1/Nefl/Bmp7/Cit/Pten/Cdh4/Ntrk3/Casz1/Yap1/Myo5b/Arhgap4/Ctnnd2/Kalrn/Serpine2/Negr1/Hey1/Sema5a/Rnf10/Cxcl12/Nf2/Prox1/Dpysl5/Prmt5/Daam2/Rgma/Syngap1/Dusp10/Kdr/Epha4/Bhlhb9/Tenm4/Dmrta2/Nf1	44
GO:0016050	GO:0016050	vesicle organization	39/1023	403/25730	0.0967741935483871	2.43401759530792	5.90410932669892	3.31578038639132e-07	0.000118307235812167	9.5428942651124e-05	Rimbp2/Doc2b/Atp6v1g1/Sdc1/Atp6v1b2/Atp13a2/Trappc12/Izumo3/Stam2/Trappc8/Tbc1d4/Baiap3/Cylc2/Osbp/Snx11/Atp6v1e1/Stxbp1/Syt1/Trarg1/Dnm2/Golph3/Serpine2/Snap25/Cplx2/Atp6ap1/Cd2ap/Washc5/Dysf/Vav3/Diaph3/Prkn/Kif13a/Rab8a/Coro1c/Mfsd14a/Trappc6b/Vps39/Plekhf2/Atp6v1h	39
GO:0051965	GO:0051965	positive regulation of synapse assembly	16/1023	88/25730	0.181818181818182	4.57300275482094	6.83184495824721	3.41074099016433e-07	0.000118307235812167	9.5428942651124e-05	Cbln2/Cux2/Opcml/Flrt2/Nrxn1/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Grid2/Lrrn1/Iqsec1/Adgrl2/Dlg5/Slitrk6/Bhlhb9	16
GO:0016358	GO:0016358	dendrite development	34/1023	334/25730	0.101796407185629	2.56033387769915	5.8404643163281	5.87436021316188e-07	0.000191026851181758	0.000154086014275503	Cyfip1/Cux2/Grip1/Nedd4l/Sipa1l1/Klhl1/Tiam1/Camk2a/Bmp7/Cit/Pten/Fcgr2b/Slc11a2/Myo5b/Ctnna2/Asap1/Ctnnd2/Kalrn/Cpeb3/Tulp1/Skor2/Alk/Abl1/Dpysl5/Csmd3/Syngap1/Sdc2/Iqsec1/Dlg5/Epha4/Bhlhb9/Dcdc2a/Tet1/Dclk1	34
GO:0001822	GO:0001822	kidney development	37/1023	382/25730	0.0968586387434555	2.43614151991115	5.7543507873174	6.46556016348027e-07	0.00019788417370934	0.000159617265460036	Zfp950/Cyp26b1/Trp73/Prdm1/Magi2/Wnt7b/Bmp7/Irx3/Osr2/Wnt4/Odc1/Fras1/Gsta3/Yap1/Nup133/Fgf1/Six2/Podxl/Hey1/Cd2ap/Bax/Cat/Nid1/Prox1/Kirrel3/Sec61a1/Pds5a/Frem2/Dlg5/Ext1/Lgr4/Rara/Epha4/Itga8/Ctnnbip1/Notch3/Nf1	37
GO:0048588	GO:0048588	developmental cell growth	31/1023	293/25730	0.10580204778157	2.66108180783949	5.81876944680701	8.01095891632156e-07	0.000224093741455716	0.000180758418156315	Map2k4/Cyfip1/Macf1/Sema6d/Smurf1/Fxn/Nedd4l/Pou4f3/Tiam1/Cit/Pten/Cdh4/Syt1/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Sin3a/Abl1/Cd2ap/Sema5a/Ndn/Cxcl12/Prkn/Rgma/Postn/Ext1/Mex3c/Rnf157/Dclk1	31
GO:1901890	GO:1901890	positive regulation of cell junction assembly	20/1023	141/25730	0.141843971631206	3.56759080163335	6.22082483991784	8.18331940737768e-07	0.000224093741455716	0.000180758418156315	Cbln2/Cux2/Opcml/Flrt2/Nrxn1/Irx3/Wnt4/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Abl1/Grid2/Lrrn1/Iqsec1/Adgrl2/Dlg5/Slitrk6/Kdr/Bhlhb9	20
GO:0007178	GO:0007178	cell surface receptor protein serine/threonine kinase signaling pathway	39/1023	420/25730	0.0928571428571429	2.33549783549784	5.61514562428424	9.41530282718802e-07	0.000234305330053876	0.000188995286307455	Rgcc/Trps1/Spry2/Smpd3/Veph1/Msx1/Hivep1/Tbx20/Smurf1/Magi2/Fstl5/Mir122/Mir290a/Gcnt2/Bmp7/Tcf7l2/Ppm1l/Akap7/Zfyve9/Fstl1/Dnm2/Sin3a/Ryr1/Skor2/Crim1/Abl1/Thbs1/Vwc2l/Stat3/Wfikkn2/Lrrc32/Mir145b/Hsp90ab1/Rgma/Zfp423/Kdr/Ext1/Itga8/Tet1	39
GO:0090287	GO:0090287	regulation of cellular response to growth factor stimulus	34/1023	341/25730	0.0997067448680352	2.50777570425664	5.70335487805224	9.45687474751371e-07	0.000234305330053876	0.000188995286307455	Cyfip1/Spry2/Veph1/Msx1/Tbx20/Smurf1/Dstyk/Fstl5/Nrxn1/Tcf7l2/Wnt4/Hhip/Zfyve9/Fstl1/Dnm2/Prdm14/Fgf1/Sin3a/Ryr1/Skor2/Crim1/Abl1/Thbs1/Vwc2l/Wfikkn2/Ptpn1/Prox1/Lrrc32/Hsp90ab1/Rgma/Zfp423/Kdr/Itga8/Tet1	34
