ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001822	GO:0001822	kidney development	36/976	382/25730	0.0942408376963351	2.4844433954167	5.80413015905647	5.83919179189772e-07	0.000262553091027573	0.000207531259527975	Zfp950/Cyp26b1/Prdm1/Magi2/Wnt7b/Hspa8/Bmp7/Irx3/Osr2/Odc1/Fras1/Gsta3/Wnt4/Nup133/Yap1/Hey1/Podxl/Fgf1/Cd2ap/Bax/Cat/Prox1/Kirrel3/Sec61a1/Pds5a/Dlg5/Itga8/Ext1/Lgr4/Epha4/Rara/Nid1/Tgfb2/Ctnnbip1/Notch3/Nf1	36
GO:0048638	GO:0048638	regulation of developmental growth	37/976	399/25730	0.0927318295739348	2.44466185956695	5.77484266687445	6.06008288580665e-07	0.000262553091027573	0.000207531259527975	Mtm1/Cyfip1/Macf1/Sema6d/Celf1/Tbx20/Smurf1/Cacna1c/Nedd4l/Cit/Pten/Tcf7l2/Syt1/Cdh4/Ntrk3/Insr/Myo5b/Yap1/Arhgap4/Sin3a/Lin7b/Fxn/Rai1/Ghr/Abl1/Ghsr/Stat3/Sema5a/Rnf157/Atp8a2/Dnm2/Prox1/Dusp10/Csf1/Rgma/Prkn/Tbx2	37
GO:0016050	GO:0016050	vesicle organization	37/976	403/25730	0.0918114143920596	2.42039722572509	5.70668804116064	7.71802783622693e-07	0.000275912569566853	0.000218091064392746	Rimbp2/Doc2b/Atp6v1g1/Sdc1/Atp6v1b2/Atp13a2/Trappc12/Izumo3/Stam2/Trappc8/Tbc1d4/Trarg1/Baiap3/Cylc2/Osbp/Snx11/Atp6v1e1/Syt1/Stxbp1/Srgn/Golph3/Snap25/Cplx2/Atp6ap1/Cd2ap/Washc5/Vav3/Dysf/Diaph3/Dnm2/Kif13a/Prkn/Rab8a/Coro1c/Vps39/Plekhf2/Chmp2a	37
GO:0006936	GO:0006936	muscle contraction	33/976	338/25730	0.0976331360946746	2.57387355708604	5.78353546743142	7.78519065464452e-07	0.000275912569566853	0.000218091064392746	Grip2/Smpd3/Calca/Itga2/Sgcd/Dock4/Tbx20/Kcnip2/Apbb2/Kcnip1/Cacna1c/Nedd4l/Kcnma1/Gja5/Atp2b1/Vps54/Kcnq1/Slc8a1/Kcnn2/Prkd1/Ryr1/Arhgap42/Mir448/Ghsr/Atp8a2/Atp1a3/Stac/Myom2/Tbx2/Hdac4/Ryr2/P2rx4/Cert1	33
GO:0032970	GO:0032970	regulation of actin filament-based process	38/976	421/25730	0.0902612826603325	2.3795315602975	5.66694326309166	8.35605599326713e-07	0.000275912569566853	0.000218091064392746	Rgcc/Cyfip1/Capg/Cracd/Kank1/Add1/Arhgef10l/Cacna1c/Snx9/Capzb/Gja5/Cit/Prkce/Wnt4/S1pr1/Arhgef26/Pdpn/Pard3/Arap2/Prkd1/Ctnna2/Abl1/Mir448/Cd2ap/Sema5a/Washc5/Nf2/Prox1/Xirp2/Prkn/Daam2/Tmeff2/Bcas3/Vasp/Ryr2/Tgfb2/Kirrel1/Arhgef18	38
GO:0044344	GO:0044344	cellular response to fibroblast growth factor stimulus	17/976	110/25730	0.154545454545455	4.07423621460507	6.41590143088864	8.4912504579143e-07	0.000275912569566853	0.000218091064392746	Spry2/Ndst1/Dstyk/Flrt2/Tcf7l2/Hhip/Wnt4/Prdm14/Fgf1/Thbs1/Fgf18/Zfp36l2/Ptpn1/Sos1/Tbx2/Postn/Ext1	17
GO:0051965	GO:0051965	positive regulation of synapse assembly	15/976	88/25730	0.170454545454545	4.49364288375559	6.51864855160021	1.03698188832988e-06	0.000307855591163691	0.000243339959689222	Cbln2/Cux2/Opcml/Flrt2/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Grid2/Lrrn1/Iqsec1/Adgrl2/Slitrk6/Dlg5/Bhlhb9	15
GO:0051961	GO:0051961	negative regulation of nervous system development	22/976	177/25730	0.124293785310734	3.27672038529221	6.03516364868984	1.06585894228629e-06	0.000307855591163691	0.000243339959689222	Sema6d/Kdm4a/Opcml/Wnt7b/Bmp7/Cit/Pten/Ntrk3/Casz1/Arhgap4/Sema5a/Rnf10/Negr1/Nf2/Prox1/Dpysl5/Dusp10/Rgma/Syngap1/Daam2/Igdcc4/Nf1	22
GO:0072001	GO:0072001	renal system development	36/976	395/25730	0.0911392405063291	2.40267690392198	5.57839687098068	1.28901154065837e-06	0.000352714263151729	0.000278797842367328	Zfp950/Cyp26b1/Prdm1/Magi2/Wnt7b/Hspa8/Bmp7/Irx3/Osr2/Odc1/Fras1/Gsta3/Wnt4/Nup133/Yap1/Hey1/Podxl/Fgf1/Cd2ap/Bax/Cat/Prox1/Kirrel3/Sec61a1/Pds5a/Dlg5/Itga8/Ext1/Lgr4/Epha4/Rara/Nid1/Tgfb2/Ctnnbip1/Notch3/Nf1	36
GO:1903541	GO:1903541	regulation of exosomal secretion	7/976	17/25730	0.411764705882353	10.855231436837	8.07102295221183	1.54068632824892e-06	0.000400501411028307	0.000316570496078094	Smpd3/Sdc1/Atp13a2/Atp9a/Myo5b/Prkn/Chmp2a	7
GO:1901890	GO:1901890	positive regulation of cell junction assembly	19/976	141/25730	0.134751773049645	3.55242123008952	6.03460594757656	1.68595296638271e-06	0.000417393784391604	0.000329922826103162	Cbln2/Cux2/Opcml/Flrt2/Irx3/Wnt4/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Grid2/Abl1/Lrrn1/Iqsec1/Adgrl2/Slitrk6/Dlg5/Kdr/Bhlhb9	19
GO:0022604	GO:0022604	regulation of cell morphogenesis	29/976	287/25730	0.101045296167247	2.66382732621237	5.62831908946232	1.80146124757627e-06	0.000425718046643138	0.000336502617729079	Cyfip1/Kank1/Cux2/Macf1/Smurf1/Grip1/Shroom3/Nedd4l/Ntng2/Tiam1/Fmnl2/Capzb/Pten/Syt1/Sparc/Myo5b/Pdpn/Rreb1/Rnf157/Nf2/Zranb1/Prkn/Hpn/Coro1c/Kdr/Epha4/Bhlhb9/Myl12b/Arhgef18	29
